Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	body_sentiment	BodyCompletedAt	body_duration_ms	Trigger
CCO	"[""CCO""]"	nBw9xt6l5a	2026-05-11 00:17:00	Northern Saskatchewan Operations Update	Business Wire	375.14	2026-05-11 00:17:00.229745	0.0652	0.0661	0.8687	-0.0008	neutral	-0.0704	2026-05-11 00:17:00.670379	498.94	NO:sentiment_score,Float
TGS	"[""TGS""]"	nGNE6L89lT	2026-05-11 01:00:00	REG-TGS Awarded OBN Contract in Gulf of America  	Globe Newswire	69.23	2026-05-11 01:00:00.300898	0.8605	0.0205	0.119	0.84	positive	0.5047	2026-05-11 01:00:00.990275	760.35	NO:Float
ALM	"[""ALM""]"	nBw1jZcS2a	2026-05-11 01:18:00	Almirall Continues Its Positive Trajectory in Q1 2026 in Line With Expectations – Led by 19.3% YoY Growth of Its European Dermatology Business	Business Wire	187.03	2026-05-11 01:18:00.259365	0.8989	0.0253	0.0758	0.8736	positive	0.0851	2026-05-11 01:18:01.974060	1807.11	NO:Float
INV	"[""INV""]"	nGNX8JP51s	2026-05-11 03:00:00	AeroFlexx Expands Global Capabilities in Partnership with Packaging Imolese to Meet Heightened Demand Across Personal Care and Household Markets	Globe Newswire	49.3	2026-05-11 03:00:00.232585	0.8162	0.0079	0.1759	0.8082	positive		2026-05-11 03:00:00.896235	741.93	YES
STG	"[""STG"", ""S790Y""]"	nGNX3hGF7L	2026-05-11 04:30:00	Sunlands Technology Group to Report First Quarter 2026 Financial Results on Tuesday, May 26, 2026	Globe Newswire	4.79	2026-05-11 04:30:00.249571	0.0864	0.0639	0.8498	0.0225	neutral	0.147	2026-05-11 04:30:00.876903	707.16	NO:sentiment_score
S790Y	"[""STG"", ""S790Y""]"	nGNX3hGF7L	2026-05-11 04:30:00	Sunlands Technology Group to Report First Quarter 2026 Financial Results on Tuesday, May 26, 2026	Globe Newswire		2026-05-11 04:30:00.249612	0.0864	0.0639	0.8498	0.0225	neutral		2026-05-11 04:30:00.878405	707.16	NO:sentiment_score,Float
BRW	"[""BRW""]"	nGNXbFG0tp	2026-05-11 05:00:00	Brunswick Exploration Drills 17.7 Meters at 1.10% Li2O Within 123 Meters at 0.72% Li2O	Globe Newswire	42.53	2026-05-11 05:00:00.325905	0.1142	0.0453	0.8405	0.0689	positive	0.2604	2026-05-11 05:00:05.360761	5098.18	NO:sentiment_score
WM	"[""WM""]"	nGNX7kCj9f	2026-05-11 05:00:00	Wallbridge Reports Initial Results from 2026 Martiniere Drill Program Expanding Mineralization along Dragonfly Corridor	Globe Newswire	401.96	2026-05-11 05:00:00.469962	0.7661	0.0136	0.2203	0.7525	positive	0.4874	2026-05-11 05:00:06.405223	6034.73	NO:Float
TEL	"[""TEL""]"	nGNE80Twbk	2026-05-11 05:15:00	Hanne Sannes-Moe is appointed new CEO of Telenor Shared Services	Globe Newswire	293.08	2026-05-11 05:15:00.238870	0.0727	0.0625	0.8649	0.0102	neutral		2026-05-11 05:15:00.853880	716.72	NO:sentiment_score,Float
TSQ	"[""TSQ""]"	nGNX5V7478	2026-05-11 06:00:00	Townsquare Reports Q1 Results With Digital Driving 63% of Segment Profit and 59% of Net Revenue	Globe Newswire	13.08	2026-05-11 06:00:00.985598	0.2722	0.053	0.6748	0.2192	positive	0.1153	2026-05-11 06:00:08.831252	7929.45	NO:sentiment_score
CLIK	"[""CLIK""]"	nGNX7GYYLz	2026-05-11 06:15:00	CLICK (NASDAQ: CLIK) Reports Strong Revenue Growth and Swings to Profit – Seniors Nursing Sector Skyrocketing over 110%, On Track for HK$500 Million Annual Revenue in 3 Years	Globe Newswire	0.78	2026-05-11 06:15:00.245975	0.9144	0.031	0.0546	0.8835	positive	0.4957	2026-05-11 06:15:01.275859	1103.64	YES
CALQ	"[""CMCL"", ""CALQ""]"	nACSQQYd7a	2026-05-11 06:18:49	"Caledonia Mining Corporation Plc - Abridged and Unaudited Quarterly Results and Details of Management Conference Call for the First Quarter Ended March 31, 2026 (""the Quarter"" or ""Q1 2026"")"	ACCESSWIRE		2026-05-11 06:18:50.054568	0.0608	0.0743	0.8649	-0.0134	neutral		2026-05-11 06:18:56.736179	6777.25	NO:sentiment_score,Float
CMCL	"[""CMCL"", ""CALQ""]"	nACSQQYd7a	2026-05-11 06:18:49	"Caledonia Mining Corporation Plc - Abridged and Unaudited Quarterly Results and Details of Management Conference Call for the First Quarter Ended March 31, 2026 (""the Quarter"" or ""Q1 2026"")"	ACCESSWIRE	14.46	2026-05-11 06:18:50.054539	0.0608	0.0743	0.8649	-0.0134	neutral	0.047	2026-05-11 06:18:56.736968	6777.25	NO:sentiment_score
BUDA	"[""BUDA""]"	nBw3nG2VKa	2026-05-11 06:55:00	Buda Juice Expands Distribution Across Nine States	Business Wire	3.9	2026-05-11 06:55:00.247074	0.8039	0.0104	0.1857	0.7935	positive	0.2059	2026-05-11 06:55:00.856341	665.32	YES
OTCM	"[""OTCM"", ""EVR""]"	nGNX8FlZ6X	2026-05-11 07:00:00	OTC Markets Group Welcomes Evolve Royalties Ltd. to OTCQX	Globe Newswire		2026-05-11 07:00:00.409372	0.1333	0.0128	0.8539	0.1204	positive		2026-05-11 07:00:03.024380	2663.69	NO:sentiment_score,Float
EVR	"[""OTCM"", ""EVR""]"	nGNX8FlZ6X	2026-05-11 07:00:00	OTC Markets Group Welcomes Evolve Royalties Ltd. to OTCQX	Globe Newswire	36.94	2026-05-11 07:00:00.409301	0.1333	0.0128	0.8539	0.1204	positive	0.1837	2026-05-11 07:00:03.025525	2663.69	NO:sentiment_score
MWG	"[""MWG""]"	nGNX1pw1FG	2026-05-11 07:00:00	Multi Ways Holdings Reports Fiscal Year 2025 Results: Revenue Grows 44% to $44.8 Million	Globe Newswire	23.74	2026-05-11 07:00:00.352421	0.9224	0.0301	0.0476	0.8923	positive	0.3987	2026-05-11 07:00:06.345317	6011.69	YES
BRIA	"[""BRIA""]"	nBw20fxhna	2026-05-11 07:00:00	BrilliA Inc. Partners with HH4K Group to Expand Indonesia Manufacturing	Business Wire	20.2799	2026-05-11 07:00:00.541223	0.8279	0.0091	0.163	0.8188	positive	0.5329	2026-05-11 07:00:06.465548	3382.71	YES
CRSR	"[""CRSR""]"	nBw8MwSxXa	2026-05-11 07:00:00	Corsair Gaming to Present at B. Riley Securities 26th Annual Institutional Investor Conference	Business Wire	45.66	2026-05-11 07:00:00.635611	0.1424	0.0167	0.8409	0.1256	positive	0.1276	2026-05-11 07:00:08.351658	1908.1	NO:sentiment_score
SGMT	"[""SGMT""]"	nGNX6MFNrg	2026-05-11 07:00:00	Sagimet Biosciences to Present Mechanism of Action Data for its FASN Inhibitors at the Society for Investigative Dermatology in Chicago	Globe Newswire	27.11	2026-05-11 07:00:00.550192	0.1585	0.0184	0.8232	0.1401	positive	0.3507	2026-05-11 07:00:09.599593	3324.55	NO:sentiment_score
S	"[""S""]"	nBw79SG3ca	2026-05-11 07:00:00	Sherritt Provides Update on Governance Matters and Timing of Q1 Results	Business Wire	316.28	2026-05-11 07:00:00.744966	0.0571	0.0454	0.8975	0.0117	neutral		2026-05-11 07:00:11.349258	1735.32	NO:sentiment_score,Float
ACTU	"[""ACTU""]"	nGNX1P4xPG	2026-05-11 07:00:00	Actuate Therapeutics Announces FDA Clearance of IND for Oral Elraglusib and Strategic Initiatives to Advance the Elraglusib Development Program	Globe Newswire	10.07	2026-05-11 07:00:00.684651	0.6754	0.0099	0.3146	0.6655	positive	0.5999	2026-05-11 07:00:11.937707	3587.67	NO:sentiment_score
UHG	"[""UHG""]"	nACSWYtQca	2026-05-11 07:00:00	Pomerantz LLP Issues Reminder to Shareholders in United Homes Group, Inc.  of Class Action – UHG	ACCESSWIRE	11.21	2026-05-11 07:00:03.025269	0.1904	0.185	0.6245	0.0054	neutral		2026-05-11 07:00:12.979574	1617.81	NO:sentiment_score
ATRA	"[""ATRA""]"	nACS2j6wCa	2026-05-11 07:00:01	ATRA INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Reminds Investors of Atara Biotherapeutics, Inc. to Contact the Firm Today!	ACCESSWIRE	4.86	2026-05-11 07:00:03.030736	0.1063	0.027	0.8667	0.0794	positive	-0.0525	2026-05-11 07:00:14.073715	2118.03	NO:sentiment_score
6B6	"[""MNDY"", ""6B6""]"	nACS3Br3Ca	2026-05-11 07:00:01	Pomerantz LLP Notifies Investors of Class Action Lawsuit Against monday.com Ltd.  – MNDY	ACCESSWIRE		2026-05-11 07:00:08.353854	0.1071	0.2275	0.6654	-0.1204	negative		2026-05-11 07:00:15.517815	1447.76	NO:sentiment_score,Float
MNDY	"[""MNDY"", ""6B6""]"	nACS3Br3Ca	2026-05-11 07:00:01	Pomerantz LLP Notifies Investors of Class Action Lawsuit Against monday.com Ltd.  – MNDY	ACCESSWIRE	41.34	2026-05-11 07:00:06.540247	0.1071	0.2275	0.6654	-0.1204	negative		2026-05-11 07:00:15.518219	1447.76	NO:sentiment_score
