Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	Trigger
IBM	"[""IBM""]"	nPNAdVZnHa	2026-06-08 00:01:00.232	New IBM Study Finds CIOs and CTOs Face Growing AI Control Gap as Enterprise Deployment Scales	PR Newswire	938.93	NYSE	2026-06-08 00:01:00.264550	0.5309	0.2857	0.1834	0.2452	positive	0.0829	0.0925	0.0836	0.6478	0.0879	2026-06-08 00:01:00.743741	NO:Float
BKNG	"[""BKNG""]"	nPreqtrJwa	2026-06-08 00:38:11.266	Puri, Wayanad and Goa Emerge as Trending Summer Choices for Indian Families, Agoda Reports	PR Newswire	773.17	NASDAQ	2026-06-08 00:38:11.295694	0.6535	0.0235	0.3231	0.63	positive	0.4837	0.6153	0.4837	0.8495	0.4908	2026-06-08 00:38:11.791538	NO:Float
DLR	"[""DLR""]"	nGNXGCjDn	2026-06-08 00:46:56.505	Digital Realty Launches Malaysia Operations to Advance Southeast Asia’s Digital Connectivity	Globe Newswire	351.24	NYSE	2026-06-08 00:46:56.530141	0.45	0.0115	0.5385	0.4385	positive	0.4418	0.5583	0.4234	0.871	0.4041	2026-06-08 00:46:57.152972	NO:Float
WIHN	"[""LAES"", ""WIHN""]"	nGNX7QQbVk	2026-06-08 01:00:00.807	WISeKey, The Hashgraph Group and Hedera Launch QAIT Q-Day Security Assessment Platform on the SEALCOIN Quantum Marketplace	Globe Newswire		NASDAQ	2026-06-08 01:00:00.854121	0.3234	0.0128	0.6638	0.3106	positive	0.2944	0.3419	0.273	0.6947	0.1898	2026-06-08 01:00:01.705168	NO:Float
LAES	"[""LAES"", ""WIHN""]"	nGNX7QQbVk	2026-06-08 01:00:00.807	WISeKey, The Hashgraph Group and Hedera Launch QAIT Q-Day Security Assessment Platform on the SEALCOIN Quantum Marketplace	Globe Newswire	215.45	NASDAQ	2026-06-08 01:00:00.852603	0.3234	0.0128	0.6638	0.3106	positive	0.2944	0.3419	0.273	0.6947	0.1898	2026-06-08 01:00:01.705250	NO:Float
SES	"[""SES""]"	nPn52B3BJa	2026-06-08 01:16:11.550	SES AI Corporation Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - SES	PR Newswire	235.77	NYSE	2026-06-08 01:16:11.581052	0.1032	0.126	0.7708	-0.0228	neutral	-0.0335	-0.0571	-0.0074	0.1744	-0.0287	2026-06-08 01:16:11.881139	NO:sentiment_score,Float
FSK	"[""FSK""]"	nPn6c1V9Ha	2026-06-08 01:40:00.335	FSK Investors Have Opportunity to Lead FS KKR Capital Corp. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	279.18	NYSE	2026-06-08 01:40:00.357345	0.2642	0.0422	0.6936	0.222	positive	-0.2403	-0.2772	-0.1239	-0.1726	-0.0848	2026-06-08 01:40:00.687297	NO:Float,excluded_string
DAL	"[""DAL""]"	nPNA5t3K2a	2026-06-08 01:40:47.139	Delta Marks Inaugural Hong Kong-Los Angeles Flights	PR Newswire	653.57	NYSE	2026-06-08 01:40:47.161440	0.1937	0.0425	0.7638	0.1512	positive	0.4833	0.6128	0.434	0.8382	0.4677	2026-06-08 01:40:47.633892	NO:Float
IHG	"[""IHG""]"	nACSxz23xa	2026-06-08 02:00:00.681	InterContinental Hotels Group PLC Announces Transaction in Own Shares - June 08	ACCESSWIRE	148.63	LSE	2026-06-08 02:00:00.700925	0.0813	0.0238	0.8949	0.0575	positive	0.2356	0.19	0.0704	0.2273	0.0626	2026-06-08 02:00:01.251617	NO:Float
NBIS	"[""NBIS""]"	nBw8xFjWwa	2026-06-08 02:00:00.532	Nebius expands in UK with more NVIDIA-powered infrastructure, more customers, and more cloud capabilities for agentic and enterprise AI	Business Wire	201.04	NASDAQ	2026-06-08 02:00:00.556887	0.5788	0.009	0.4122	0.5697	positive	0.3876	0.4588	0.3714	0.7886	0.4088	2026-06-08 02:00:01.479873	NO:Float
