Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
RDNW	"[""RDNW""]"	nPnc8frYDa	2026-06-09 11:45:01.180	RideNow Group, Inc. Announces Major Expansion of RideNow Tallahassee: New 27,000-Square-Foot Facility is the Panhandle's Premier Powersports Destination	PR Newswire	23.73	NASDAQ	7.23	47.2	195.0597	2026-06-09 11:45:01.237841	0.7696	0.0155	0.2149	0.7541	positive	OK	accepted:1000	sentiment_ack	0.5145	0.6273	0.4627	0.8295	0.4335	2026-06-09 11:45:01.810627
LKQ	"[""LKQ""]"	nGNX6Ndbqm	2026-06-09 12:00:00.822	Bronstein, Gewirtz & Grossman LLC Urges LKQ Corporation Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	253.04	NASDAQ		44444.0	44444.0	2026-06-09 12:00:00.856541	0.1048	0.2742	0.621	-0.1694	negative	BAD	accepted:1001	sentiment_bad_released	0.041	0.035	0.0328	0.332	-0.0099	2026-06-09 12:00:01.500172
GPK	"[""GPK""]"	nGNX4Hv0lR	2026-06-09 12:00:02.521	Bronstein, Gewirtz & Grossman LLC Urges Graphic Packaging Holding Company Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	291.25	NYSE		44444.0	44444.0	2026-06-09 12:00:02.557536	0.098	0.3096	0.5925	-0.2116	negative	BAD	accepted:1002	sentiment_bad_released	-0.1471	-0.2286	-0.0844	0.0432	-0.1116	2026-06-09 12:00:03.908966
MDLN	"[""MDLN""]"	nBw8P7vh7a	2026-06-09 12:00:02.566	Securities Fraud Investigation Into Medline Industries, Inc. (MDLN) Announced – Shareholders Who Lost Money Urged To Contact Glancy Prongay Wolke & Rotter LLP, a Leading Securities Fraud Law Firm	Business Wire	525.29	NASDAQ		44444.0	44444.0	2026-06-09 12:00:02.600796	0.2945	0.3031	0.4024	-0.0086	neutral	OK	accepted:1003	sentiment_ack	0.0509	0.0312	0.0452	0.5814	-0.043	2026-06-09 12:00:04.117768
FSK	"[""FSK""]"	nNFCbBXRYs	2026-06-09 12:00:12.475	Bronstein, Gewirtz & Grossman LLC Urges FS KKR Capital Corp. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	279.18	NYSE		44444.0	44444.0	2026-06-09 12:00:12.536572	0.1494	0.2462	0.6044	-0.0967	negative	BAD	accepted:1004	sentiment_bad_released	0.0498	0.0487	0.0436	0.2616	0.0061	2026-06-09 12:00:13.589357
PICS	"[""PICS""]"	nNFC1SxWC1	2026-06-09 12:00:15.439	Bronstein, Gewirtz & Grossman LLC Urges PicS N.V. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	22.23	NASDAQ	9.42	10.8	204.1553	2026-06-09 12:00:15.464392	0.1807	0.2581	0.5613	-0.0774	negative	BAD	accepted:1005	sentiment_bad_released	-0.0011	0.0178	0.0143	0.4816	0.0161	2026-06-09 12:00:16.035590
LTRX	"[""LTRX""]"	nGNX1Q8P31	2026-06-09 12:06:04.259	Lantronix to Participate in Rosenblatt’s 6th Annual Technology Summit – The Age of AI	Globe Newswire	34.72	NASDAQ	6.72	5.4	223.0437	2026-06-09 12:06:04.277167	0.3254	0.048	0.6266	0.2775	positive	OK	skipped:excluded_string	skipped:not_armed	0.2124	0.2475	0.1204	0.3973	0.141	2026-06-09 12:06:04.669945
MSTR	"[""MSTR""]"	nBw21zw8Ya	2026-06-09 12:09:00.323	Strategy and Diageo Show How a Universal Context Layer Can Simplify Data Complexity and Accelerate AI Readiness at Gartner Data & Analytics Summit London 2026	Business Wire	330.17	NASDAQ		44444.0	44444.0	2026-06-09 12:09:00.351198	0.4898	0.0157	0.4945	0.4741	positive	OK	accepted:1006	sentiment_ack	0.2199	0.2667	0.1847	0.5784	0.1702	2026-06-09 12:09:00.910271
BORR	"[""BORR""]"	nWkr8Cfbtk	2026-06-09 12:20:08.821	Borr Drilling Limited - Pricing Terms for its Previously Announced Consent Solicitation and Tender Offer for its Senior Secured Notes due 2028	Cision	270.6	NYSE		44444.0	44444.0	2026-06-09 12:20:08.859691	0.1988	0.0116	0.7897	0.1872	positive	BAD	accepted:1007	sentiment_bad_released	0.0579	0.044	0.0375	0.1027	0.038	2026-06-09 12:20:09.558820
PICS	"[""PICS""]"	nGNXbZVlRg	2026-06-09 12:40:00.380	Bronstein, Gewirtz & Grossman LLC Urges PicS N.V. Investors to Act: Class Action Filed Alleging Investor Harm	Globe Newswire	22.23	NASDAQ	9.42	10.8	204.1553	2026-06-09 12:40:00.411610	0.1807	0.2581	0.5613	-0.0774	negative	BAD	accepted:1008	sentiment_bad_released	0.0497	0.0147	0.0419	0.1781	-0.0044	2026-06-09 12:40:00.898869
FCHL	"[""FCHL""]"	nGNX39zg5f	2026-06-09 12:43:47.284	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in Fitness Champs Holdings Ltd. of Class Action Lawsuit and Upcoming Deadlines – FCHL	Globe Newswire	0.4	NASDAQ	1.1	92.2	492.3999	2026-06-09 12:43:47.310800	0.1886	0.4121	0.3992	-0.2235	negative	BAD	skipped:excluded_string	skipped:not_armed	-0.1735	-0.2201	-0.0572	0.0739	-0.06	2026-06-09 12:43:47.743888
GPK	"[""GPK""]"	nGNXz34NS	2026-06-09 12:45:49.396	Pomerantz Law Firm Announces the Filing of a Class Action Against Graphic Packaging Holding Company and Certain Former Officers – GPK	Globe Newswire	291.25	NYSE		44444.0	44444.0	2026-06-09 12:45:49.422762	0.1522	0.2368	0.611	-0.0847	negative	BAD	skipped:excluded_string	skipped:not_armed	-0.2162	-0.2907	-0.116	0.5647	-0.015	2026-06-09 12:45:50.206218
RBLX	"[""RBLX""]"	nBw6Rmy4Ja	2026-06-09 12:46:00.485	RBLX Investors Have Opportunity to Lead Roblox Corporation Securities Fraud Lawsuit with the Schall Law Firm	Business Wire	621.98	NYSE		44444.0	44444.0	2026-06-09 12:46:00.519786	0.285	0.0525	0.6625	0.2325	positive	OK	skipped:excluded_string	skipped:not_armed	0.009	0.0777	0.0202	0.4874	0.033	2026-06-09 12:46:00.871382
LKQ	"[""LKQ""]"	nGNX8DLmjT	2026-06-09 12:49:13.276	INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in LKQ Corporation of Class Action Lawsuit and Upcoming Deadlines – LKQ	Globe Newswire	253.04	NASDAQ		44444.0	44444.0	2026-06-09 12:49:13.303751	0.1785	0.4982	0.3233	-0.3197	negative	BAD	skipped:excluded_string	skipped:not_armed	-0.6243	-0.7304	-0.4589	0.0454	-0.2763	2026-06-09 12:49:13.731426
SMID	"[""SMID""]"	nBw2BqPlFa	2026-06-09 13:04:00.279	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	LSE	28.75	1168.3	189.4338	2026-06-09 13:04:00.301238	0.0738	0.0729	0.8534	0.0009	neutral	BAD	accepted:1009	sentiment_bad_released	0.803	0.4641	0.1658	0.3092	0.1732	2026-06-09 13:04:01.004848
SEGG	"[""SEGG"", ""LTRYW""]"	nGNX2jFJS0	2026-06-09 13:05:00.558	SEGG Media Launches Sports.com Predict Ahead of Schedule, Activating First Users in Time for NBA Finals and 2026 FIFA World Cup Kickoff	Globe Newswire	10.84	NASDAQ	1.67	10.9	627.1532	2026-06-09 13:05:00.629653	0.1024	0.0168	0.8808	0.0856	positive	BAD	accepted:1012	sentiment_bad_released	0.3304	0.45	0.2987	0.7477	0.2459	2026-06-09 13:05:02.453140
