Symbol	Tickers	ID	Created	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
VBIO	"[""VBIO""]"	nPn52srMya	07:45:00.044	2026-06-11 07:45:00.156	Valion Bio (NASDAQ: VBIO) Confirms U.S. House Armed Services Committee Initiative to Address Urgent Need for Radiation /Nuclear Countermeasures	PR Newswire	3.12	NASDAQ	0.7971	6103.0	630.306	2026-06-11 07:45:00.389045	0.6802	0.0128	0.307	0.6675	positive	OK	accepted:1001	sentiment_ack	0.4261	0.5412	0.3915	0.7526	0.3738	2026-06-11 07:45:00.982241
MASK	"[""MASK""]"	nGNX2VRqRq	07:50:00.111	2026-06-11 07:50:00.242	3 E Network Enters Strategic Framework Agreement with California-Based Aladdin Alaris AI to Explore Next-Generation Healthcare and Eldercare Robotics	Globe Newswire	0.82	NASDAQ	3.03	45.4	254.4488	2026-06-11 07:50:00.407614	0.7922	0.0098	0.198	0.7824	positive	OK	accepted:1002	sentiment_ack	0.4745	0.5408	0.4338	0.7945	0.3739	2026-06-11 07:50:01.129396
SOAR	"[""SOAR"", ""VTAK""]"	nGNE7jzt3C	08:00:00.317	2026-06-11 08:00:00.976	FLYTE EXPANDS STRATEGIC RELATIONSHIP WITH VOLATO BY JOINING VAUNT PLATFORM	Globe Newswire	27.51	NYSE AMERICAN	0.2206	9.2	1267.728	2026-06-11 08:00:02.257845	0.6462	0.0094	0.3444	0.6368	positive	OK	accepted:1004	sentiment_ack	0.5001	0.6274	0.5001	0.8625	0.4827	2026-06-11 08:00:04.001285
VTAK	"[""SOAR"", ""VTAK""]"	nGNE7jzt3C	08:00:00.317	2026-06-11 08:00:00.976	FLYTE EXPANDS STRATEGIC RELATIONSHIP WITH VOLATO BY JOINING VAUNT PLATFORM	Globe Newswire	1.97	NYSE AMERICAN	1.1	5444.2	316.7419	2026-06-11 08:00:02.258227	0.6462	0.0094	0.3444	0.6368	positive	OK	accepted:1012	sentiment_ack	0.4753	0.6068	0.4753	0.8625	0.4449	2026-06-11 08:00:04.001843
TOVX	"[""TOVX""]"	nGNX7QwxMG	08:00:00.463	2026-06-11 08:00:01.173	Theriva™ Biologics Announces Results from VCN-01 Phase 1 Clinical Trial in Head and Neck Cancer Published in Clinical Cancer Research	Globe Newswire	45.14	NYSE AMERICAN	0.2435	273.7	1065.2395	2026-06-11 08:00:02.591315	0.2101	0.0356	0.7544	0.1745	positive	OK	accepted:1005	sentiment_ack	0.2865	0.3684	0.2865	0.7529	0.3399	2026-06-11 08:00:04.359660
CD	"[""CD""]"	nGNE7mY237	08:00:00.469	2026-06-11 08:00:01.286	Chaince Digital Extends the “Chain” Beyond Earth: Board Approves Initiative to Explore Space-Based AI Infrastructure	Globe Newswire	45.39	NASDAQ	4.9	9816.7	4497.6897	2026-06-11 08:00:03.064569	0.3299	0.0106	0.6594	0.3193	positive	OK	accepted:1007	sentiment_ack	0.3619	0.4525	0.299	0.7235	0.2834	2026-06-11 08:00:04.934705
PROP	"[""PROP""]"	nGNE91m0cy	08:00:00.547	2026-06-11 08:00:01.717	Prairie Operating Co. Reaffirms $475 Million Credit Facility and Advances Series F Preferred Refinancing Initiatives	Globe Newswire	38.88	NASDAQ	0.8393	577.5	1546.7721	2026-06-11 08:00:08.333469	0.7769	0.0198	0.2034	0.7571	positive	OK	accepted:1008	sentiment_ack	0.5085	0.6366	0.436	0.8276	0.4603	2026-06-11 08:00:09.482627
ZENA	"[""ZENA""]"	nGNEbrHdBx	08:00:00.669	2026-06-11 08:00:01.953	ZenaTech Signs Offer to Acquire a Western Canadian Geospatial and Land Surveying Company to Accelerate Drone as a Service in Utilities, Forestry, Agriculture and Government Sectors	Globe Newswire	33.4	NASDAQ	1.53	90.8	517.7681	2026-06-11 08:00:08.482307	0.729	0.0075	0.2635	0.7215	positive	OK	accepted:1010	sentiment_ack	0.6214	0.6576	0.505	0.8354	0.5462	2026-06-11 08:00:09.982423
ABX	"[""ABX""]"	nGNX1zFDN2	08:00:01.344	2026-06-11 08:00:02.224	Abacus Global Management to Participate in the Northland Growth Conference 2026	Globe Newswire	32.36	NYSE	9.11	4591.7	8945.561	2026-06-11 08:00:08.624758	0.1766	0.0179	0.8056	0.1587	positive	BAD	accepted:1014	sentiment_bad_released	0.1444	0.1243	0.0943	0.1827	0.0966	2026-06-11 08:00:10.358175
RENX	"[""RENX""]"	nGNE7FPH7Q	08:00:00.726	2026-06-11 08:00:02.097	RenX Eliminates $7 Million of Debt in Equity Conversion	Globe Newswire	2.42	NASDAQ	1.73	1677.7	509.1232	2026-06-11 08:00:08.531414	0.1465	0.0752	0.7783	0.0714	positive	BAD	accepted:1011	sentiment_bad_released	0.4537	0.5434	0.3478	0.8636	0.3984	2026-06-11 08:00:10.685848
