Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
PHR	"[""PHR""]"	nPn3D9WSRa	2026-06-11 01:50:00.127	PHR Investors Have Opportunity to Lead Phreesia, Inc. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	49.77	NYSE	9.29	4003.6	20534.5795	2026-06-11 01:50:00.363000	0.182	0.0412	0.7768	0.1408	positive	BAD	accepted:1000	sentiment_bad_released	-0.136	-0.0831	-0.0546	0.1021	-0.0473	2026-06-11 01:50:00.785971
EVAX	"[""EVAX""]"	nGNEbqVXF3	2026-06-11 02:00:00.423	Evaxion presents new preclinical data for EVX-04, an off-the-shelf therapeutic vaccine for acute myeloid leukemia	Globe Newswire	6.74	NASDAQ	3.63	28500.0	291.1	2026-06-11 02:00:01.524548	0.5145	0.0162	0.4694	0.4983	positive	OK	accepted:1001	sentiment_ack	0.3782	0.4643	0.3133	0.7443	0.3006	2026-06-11 02:00:02.049362
TTGT	"[""TTGT""]"	nBw3zcZXca	2026-06-11 04:00:00.495	Omdia Appoints Theresa Lanowitz as Principal Analyst for Vulnerability and Risk Management	Business Wire	29.7	NASDAQ	3.71	1125.3	2242.0679	2026-06-11 04:00:01.111002	0.0956	0.0307	0.8737	0.0649	positive	BAD	accepted:1000	sentiment_bad_released	0.2468	0.322	0.1907	0.5772	0.1865	2026-06-11 04:00:01.513367
KMRK	"[""KMRK""]"	nGNX5zwTFH	2026-06-11 06:00:00.871	K-Tech Solutions Company Limited and Aurora AZ Energy Ltd. Announce Construction and Testing Progress on Initial 5 MW Capacity Phase of Joint Venture	Globe Newswire	4.6	NASDAQ	1.62	17165.9	261.4681	2026-06-11 06:00:02.754824	0.6369	0.017	0.3461	0.6199	positive	OK	accepted:1003	sentiment_ack	0.3615	0.3957	0.2147	0.6426	0.2703	2026-06-11 06:00:03.470367
CAST	"[""CAST""]"	nBw3p5f1ha	2026-06-11 06:00:00.815	FreeCast Expands DIRECTV Relationship Across Residential and Platform-as-a-Service Ecosystems	Business Wire	16.33	NASDAQ	0.6466	3211.9	552.7599	2026-06-11 06:00:02.723950	0.451	0.0086	0.5404	0.4424	positive	OK	accepted:1002	sentiment_ack	0.5409	0.6731	0.5149	0.8548	0.5464	2026-06-11 06:00:03.613685
MAX	"[""MAX""]"	nACSMpQ4Ja	2026-06-11 06:07:01.194	MediaAlpha (MAX) Board Investigated For Breaching Its Duties to Investors - Current Shareholders Urged to Protect Your Rights	ACCESSWIRE	28.6	NYSE	9.31	4201.9	7716.037	2026-06-11 06:07:01.370014	0.1468	0.3131	0.5401	-0.1663	negative	BAD	accepted:1004	sentiment_bad_released	-0.0296	-0.039	-0.0126	0.3138	-0.0531	2026-06-11 06:07:01.859033
VMAR	"[""VMAR""]"	nPn46GX0qa	2026-06-11 06:30:00.318	Activation Following Lake Berryessa Electric Boat Festival Title Sponsorship	PR Newswire	1.71	NASDAQ	0.359	59.7	651.5593	2026-06-11 06:30:00.700402	0.2393	0.1036	0.6571	0.1357	positive	OK	accepted:1005	sentiment_ack	0.3804	0.4945	0.334	0.7968	0.2808	2026-06-11 06:30:01.339075
AIIO	"[""AIIO""]"	nPn9JyNxWa	2026-06-11 06:34:26.577	As AI Infrastructure Takes Center Stage, Neurovia AI Highlights NeuroStream™ and New Leadership at UAE Industry Summit	PR Newswire	13.7	NASDAQ	2.83	33.5	341.7994	2026-06-11 06:34:26.706164	0.7011	0.0193	0.2796	0.6819	positive	OK	accepted:1006	sentiment_ack	0.2818	0.3309	0.2508	0.5791	0.2957	2026-06-11 06:34:27.249947
PICS	"[""PICS""]"	nBwbMGNjpa	2026-06-11 06:35:00.226	PICS INVESTOR ALERT: Robbins Geller Rudman & Dowd LLP Files Class Action Lawsuit Against PicS N.V. and Announces Opportunity for Investors with Substantial Losses to Lead Class Action Lawsuit	Business Wire	22.23	NASDAQ	9.79	5700.0	1431.4337	2026-06-11 06:35:00.316369	0.2845	0.3509	0.3646	-0.0664	negative	OK	accepted:1007	sentiment_bad_released	-0.1245	-0.2891	-0.0733	-0.0592	-0.0896	2026-06-11 06:35:01.077793
WBX	"[""WBX"", ""67E0""]"	nBwbZGkwva	2026-06-11 06:50:00.408	Wallbox Receives Approximately €10.5 Million Through Canada’s Clean Fuel Credit Framework	Business Wire	4.36	NYSE	2.8	25650.0	148.8889	2026-06-11 06:50:01.231857	0.2231	0.0149	0.762	0.2082	positive	OK	accepted:1008	sentiment_ack	0.4703	0.5724	0.389	0.7753	0.4327	2026-06-11 06:50:02.292223
67E0	"[""WBX"", ""67E0""]"	nBwbZGkwva	2026-06-11 06:50:00.408	Wallbox Receives Approximately €10.5 Million Through Canada’s Clean Fuel Credit Framework	Business Wire		NYSE		44444.0	44444.0	2026-06-11 06:50:01.235391	0.2231	0.0149	0.762	0.2082	positive	OK	skipped:not_armed	skipped:not_armed	0.4703	0.5724	0.389	0.7753	0.4327	2026-06-11 06:50:02.292634
AQMS	"[""AQMS""]"	nGNX5XLmCt	2026-06-11 07:00:01.219	Aqua Metals Selected as Industrial Partner on DOE-Funded Idaho National Laboratory Program Advancing Critical Minerals Refining	Globe Newswire	2.55	NASDAQ	3.32	3438.1	433.1071	2026-06-11 07:00:03.532198	0.6962	0.0108	0.293	0.6854	positive	OK	accepted:1009	sentiment_ack	0.5747	0.6523	0.5175	0.8575	0.5309	2026-06-11 07:00:03.990992
PICS	"[""PICS""]"	nACSZqYXXa	2026-06-11 07:00:02.057	PICS INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that PicS N.V. Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	22.23	NASDAQ	9.79	5700.0	1431.4337	2026-06-11 07:00:07.728678	0.1489	0.2605	0.5906	-0.1117	negative	BAD	accepted:1010	sentiment_bad_released	0.0437	0.0126	0.0379	0.1679	-0.0135	2026-06-11 07:00:08.374267
