Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
FCHL	"[""FCHL""]"	nNFC2QVhmv	12:00:13.733	2026-06-12	12:00:13.918	Bronstein, Gewirtz & Grossman LLC Urges Fitness Champs Holdings Ltd. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	0.4	NASDAQ	1.28	17.2	486.4604	2026-06-12 12:00:14.926912	0.144	0.192	0.664	-0.048	neutral	BAD	accepted:1006	sentiment_bad_released	-0.0072	-0.0176	0.0086	0.231	-0.038	2026-06-12 12:00:15.347411
PHR	"[""PHR""]"	nNFCfLtdQ	12:00:14.364	2026-06-12	12:00:14.623	Bronstein, Gewirtz & Grossman LLC Urges Phreesia, Inc. Investors to Act: Class Action Filed Alleging Investor Harm	Newsfile Corp	49.77	NYSE	9.05	8.4	172.4586	2026-06-12 12:00:16.483092	0.1708	0.2267	0.6025	-0.0559	negative	BAD	accepted:1007	sentiment_bad_released	0.0298	-0.0134	0.0231	0.3339	-0.0229	2026-06-12 12:00:16.907377
DTSS	"[""DTSS"", ""5ZS""]"	nPn22XBLha	12:15:00.086	2026-06-12	12:15:00.216	Datasea Intelligent Technology Ltd. Announces Advancement of Compliance Work and Related Procedures for U.S. FDA Establishment Registration and Device Listing for Its Acoustic Brain-Computer Interface Product	PR Newswire	8.21	NASDAQ	0.9999	73.7	367.0105	2026-06-12 12:15:00.462883	0.4565	0.0205	0.523	0.4361	positive	OK	accepted:1000	sentiment_ack	0.358	0.4583	0.2804	0.7566	0.3185	2026-06-12 12:15:01.577244
5ZS	"[""DTSS"", ""5ZS""]"	nPn22XBLha	12:15:00.086	2026-06-12	12:15:00.216	Datasea Intelligent Technology Ltd. Announces Advancement of Compliance Work and Related Procedures for U.S. FDA Establishment Registration and Device Listing for Its Acoustic Brain-Computer Interface Product	PR Newswire		NASDAQ		44444.0	44444.0	2026-06-12 12:15:00.462034	0.4565	0.0205	0.523	0.4361	positive	OK	skipped:not_armed	skipped:not_armed	0.3745	0.482	0.3208	0.7566	0.3587	2026-06-12 12:15:01.577630
GELS	"[""GELS""]"	nGNXX1Ntz	12:30:00.125	2026-06-12	12:30:00.263	Gelteq Successfully Completes Veterinary Palatability Trials with Kemin, Further Validating Gelteq® Technology for Animal Health Applications	Globe Newswire	5.62	NASDAQ	1.53	1080.0	468.3837	2026-06-12 12:30:00.484706	0.8672	0.0135	0.1193	0.8537	positive	OK	accepted:1003	sentiment_ack	0.5348	0.6242	0.4099	0.8482	0.4769	2026-06-12 12:30:01.133182
PHR	"[""PHR""]"	nACSZ8KPga	12:30:00.791	2026-06-12	12:30:00.897	Securities Lawsuit Alert: Phreesia, Inc. (PHR) - Contact Levi & Korsinsky Before July 13, 2026	ACCESSWIRE	49.77	NYSE	9.05	8.4	172.4586	2026-06-12 12:30:01.347571	0.076	0.0746	0.8494	0.0013	neutral	BAD	accepted:1004	sentiment_bad_released	-0.1428	-0.2533	-0.0751	0.5342	-0.1313	2026-06-12 12:30:01.982415
FJET	"[""FJET""]"	nPnbbTr0fa	12:58:00.045	2026-06-12	12:58:00.169	Johnson Fistel Investigates Starfighters Space, Inc. (FJET) After Disclosures Concerning Executive Resignations	PR Newswire	29.36	NYSE AMERICAN	6.75	4.2	325.0479	2026-06-12 12:58:00.855867	0.0688	0.4599	0.4713	-0.3911	negative	BAD	accepted:1005	sentiment_bad_released	-0.1385	-0.1945	-0.0817	-0.0242	-0.0541	2026-06-12 12:58:01.407692
BYAH	"[""BYAH""]"	nGNX2z8fJD	14:54:31.101	2026-06-12	14:54:31.209	Park Ha Biological Technology Co., Ltd. Announces Pricing of $2.0 Million Registered Direct Offering	Globe Newswire	1.02	NASDAQ	1.05	13.3	334.6588	2026-06-12 14:54:31.524189	0.1733	0.0141	0.8126	0.1592	positive	BAD	accepted:1007	sentiment_bad_released	0.1243	0.1	0.0819	0.2875	0.117	2026-06-12 14:54:32.166143
MAX	"[""MAX""]"	nACSpxsBva	15:11:00.531	2026-06-12	15:11:00.685	$MAX Investigation: MediaAlpha Deceptive Advertising Allegations Trigger Investigation Into The Board - Current Shareholders Notified to Protect Your Rights	ACCESSWIRE	28.6	NYSE	9.35	7.7	169.5591	2026-06-12 15:11:01.150245	0.1592	0.2635	0.5773	-0.1044	negative	BAD	accepted:1009	sentiment_bad_released	-0.0296	-0.0391	-0.0126	0.3138	-0.0531	2026-06-12 15:11:01.593363
COSM	"[""COSM""]"	nGNX8Mf1G	15:33:00.102	2026-06-12	15:33:00.225	Cosmos Health Receives New Contract Manufacturing Orders Totaling 253,657 Units Across a Range of Medicines	Globe Newswire	33.22	NASDAQ	0.206	6.9	1029.1393	2026-06-12 15:33:00.500584	0.6888	0.0165	0.2947	0.6724	positive	OK	accepted:1010	sentiment_ack	0.295	0.4263	0.1802	0.79	0.2763	2026-06-12 15:33:01.090229
ELWT	"[""ELWT""]"	nNFC72GJSc	15:54:38.248	2026-06-12	15:54:38.337	ROSEN, NATIONAL INVESTOR COUNSEL, Encourages Elauwit Connection, Inc. Investors to Inquire About Securities Class Action Investigation - ELWT	Newsfile Corp	2.16	NASDAQ	6.08	279.9	258.4535	2026-06-12 15:54:38.729500	0.1348	0.0659	0.7993	0.0689	positive	BAD	accepted:1012	sentiment_bad_released	0.1087	0.0593	0.0841	0.5125	0.0258	2026-06-12 15:54:39.121729
FDMT	"[""FDMT""]"	nGNX4QY9PB	16:05:00.130	2026-06-12	16:05:00.239	4DMT Announces New Employment Inducement Grants	Globe Newswire	46.64	NASDAQ	8.84	4876.7	10769.9273	2026-06-12 16:05:00.792460	0.2541	0.3804	0.3654	-0.1263	negative	OK	accepted:1013	sentiment_ack	0.4662	0.4365	0.2439	0.5997	0.289	2026-06-12 16:05:01.171458
RNAC	"[""RNAC""]"	nGNX15pwGl	16:05:00.160	2026-06-12	16:05:00.261	Cartesian Therapeutics Announces New Employment Inducement Grant	Globe Newswire	12.77	NASDAQ	8.06	11849.2	332.737	2026-06-12 16:05:03.003447	0.2698	0.1217	0.6085	0.1481	positive	OK	accepted:1014	sentiment_ack	0.294	0.3108	0.1891	0.4203	0.2072	2026-06-12 16:05:03.503087
NSPR	"[""NSPR""]"	nGNX46HVxM	16:05:00.288	2026-06-12	16:05:00.528	InspireMD Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)	Globe Newswire	33.43	NASDAQ	0.7293	3052.7	622.6667	2026-06-12 16:05:02.559951	0.1159	0.0171	0.8669	0.0988	positive	BAD	accepted:1015	sentiment_bad_released	0.1304	0.1964	0.0846	0.3337	0.1219	2026-06-12 16:05:03.654214
