Symbol	Tickers	ID	Created	ArrivalTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
EVAX	"[""EVAX""]"	nGNE7NZT40	03:00:00.099	2026-06-12 03:00:00.269	Evaxion receives Prix Galien UK Award for Best digital health solution	Globe Newswire	6.74	NASDAQ	3.79	34200.0	298.9231	2026-06-12 03:00:00.862969	0.8837	0.0226	0.0937	0.8611	positive	OK	accepted:1001	sentiment_ack	0.4891	0.593	0.4696	0.7972	0.5504	2026-06-12 03:00:01.301403
SNBR	"[""SNBR""]"	nBw6cbY89a	04:20:00.094	2026-06-12 04:20:00.255	Sleep Number Enters Asset Purchase Agreement to Combine with Sleep Country Canada, Creating an Industry Leader in North America	Business Wire	18.58	NASDAQ	0.66	36.2	903.8122	2026-06-12 04:20:00.739407	0.7778	0.0115	0.2107	0.7663	positive	OK	accepted:1002	sentiment_ack	0.5376	0.5926	0.5163	0.8074	0.5377	2026-06-12 04:20:01.270767
JFIN	"[""JFIN""]"	nGNXdkrtR	06:00:00.192	2026-06-12 06:00:00.511	Jiayin Group Inc. to Release First Quarter 2026 Unaudited Financial Results on Tuesday, June 23, 2026	Globe Newswire	17.2264	NASDAQ	3.94	8075.0	476.3636	2026-06-12 06:00:01.814539	0.0603	0.043	0.8967	0.0173	neutral	BAD	accepted:1003	sentiment_bad_released	0.271	0.2936	0.1033	0.3538	0.0905	2026-06-12 06:00:02.234211
MRT	"[""MRT""]"	nBw3hPxzZa	06:30:00.133	2026-06-12 06:30:00.334	Marti’s Ride-Hailing Service Reaches 4.30 Million Riders and 532 Thousand Registered Drivers, Exceeding June 30, 2026 Targets	Business Wire	29.19	NYSE AMERICAN	1.81	5153.0	359.8413	2026-06-12 06:30:00.685616	0.1431	0.0174	0.8396	0.1257	positive	BAD	accepted:1004	sentiment_bad_released	0.5776	0.6557	0.5253	0.8625	0.5244	2026-06-12 06:30:01.117000
MAX	"[""MAX""]"	nGNX9VG0r2	06:46:00.209	2026-06-12 06:46:00.386	$MAX Stock Reminder: MediaAlpha Settles with the FTC – BFA Law’s Investigation into the Board is Ongoing	Globe Newswire	28.6	NYSE	9.35	4478.6	8205.4821	2026-06-12 06:46:01.419190	0.2228	0.271	0.5062	-0.0482	neutral	OK	accepted:1005	sentiment_ack	-0.0358	-0.0492	-0.0158	0.3267	-0.0553	2026-06-12 06:46:01.856676
PHR	"[""PHR""]"	nACSBfY1za	07:00:01.306	2026-06-12 07:00:02.161	PHR SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc.   Shareholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	49.77	NYSE	9.05	3601.4	24125.3485	2026-06-12 07:00:05.512774	0.1308	0.3468	0.5224	-0.216	negative	BAD	accepted:1007	sentiment_bad_released	0.0224	-0.0084	0.0211	0.3341	-0.0367	2026-06-12 07:00:06.020620
FCHL	"[""FCHL""]"	nACSl1qgPa	07:00:01.441	2026-06-12 07:00:02.436	Class Action Lawsuit Reminder from Pomerantz LLP for Investors of Fitness Champs Holdings Ltd.  – FCHL	ACCESSWIRE	0.4	NASDAQ	1.28	8.5	354.53	2026-06-12 07:00:05.761340	0.1786	0.134	0.6874	0.0446	neutral	BAD	accepted:1008	sentiment_bad_released	-0.1939	-0.2319	-0.0616	0.11	-0.0748	2026-06-12 07:00:06.255792
EXOD	"[""EXOD""]"	nGNX505gXt	07:25:00.106	2026-06-12 07:25:00.216	Exodus Launches Exodus Markets for Tokenized Assets with Ondo Finance	Globe Newswire	4.19	NYSE AMERICAN	6.2	15200.0	1884.7	2026-06-12 07:25:00.649185	0.1421	0.0222	0.8357	0.12	positive	BAD	accepted:1009	sentiment_bad_released	0.2487	0.2749	0.1635	0.4726	0.2037	2026-06-12 07:25:01.104060
CRVO	"[""CRVO""]"	nGNXcdjxTz	07:30:00.110	2026-06-12 07:30:00.188	CervoMed to Participate in the H.C. Wainwright 7th Annual Neuro Perspectives Expert Summit	Globe Newswire	4.8	NASDAQ	2.44	9512.5	294.3681	2026-06-12 07:30:00.376191	0.2011	0.0192	0.7797	0.1819	positive	OK	accepted:1010	sentiment_ack	0.2999	0.308	0.2044	0.4154	0.1921	2026-06-12 07:30:00.768665
SNBR	"[""SNBR""]"	nPncfV0kRa	07:34:00.049	2026-06-12 07:34:00.211	Wolf Haldenstein Adler Freeman & Herz LLP is investigating potential securities fraud claims on behalf of the shareholders of Sleep Number Corporation (NASDAQ: SNBR)	PR Newswire	18.58	NASDAQ	0.66	36.2	903.8122	2026-06-12 07:34:00.348063	0.1606	0.137	0.7025	0.0236	neutral	BAD	accepted:1011	sentiment_bad_released	-0.2746	-0.4134	-0.1184	0.3435	-0.1227	2026-06-12 07:34:00.825500
