Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
PHR	"[""PHR""]"	nACSXLyGHa	00:45:01.028	2026-06-15	00:45:01.125	00:45:01.415	Investors Urged to Contact Levi & Korsinsky for Information Before July 13, 2026 - Phreesia, Inc. (PHR)	ACCESSWIRE	49.77	NYSE	9.06	3221.0	20873.2676	2026-06-15 00:45:01.432858	0.0468	0.0347	0.9185	0.0121	neutral	BAD	accepted:1000	sentiment_bad_released	-0.1489	-0.2566	-0.0787	0.5342	-0.1394	2026-06-15 00:45:01.870493
PHR	"[""PHR""]"	nACSwdFRja	03:15:02.594	2026-06-15	03:15:02.697	03:15:02.967	Class Action Lawsuit Filed: Phreesia, Inc. (PHR) - Join by July 13, 2026 - Contact Levi & Korsinsky	ACCESSWIRE	49.77	NYSE	9.06	3221.0	20873.2676	2026-06-15 03:15:02.990407	0.102	0.0306	0.8675	0.0714	positive	BAD	accepted:1001	sentiment_bad_released	-0.1489	-0.2566	-0.0787	0.5342	-0.1394	2026-06-15 03:15:03.471176
PHR	"[""PHR""]"	nPn1xQfHwa	03:39:00.044	2026-06-15	03:39:00.133	03:39:00.369	Phreesia, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - PHR	PR Newswire	49.77	NYSE	9.06	3221.0	20873.2676	2026-06-15 03:39:00.390524	0.1225	0.0861	0.7914	0.0364	neutral	BAD	accepted:1002	sentiment_bad_released	0.07	0.1269	0.0483	0.5032	0.0303	2026-06-15 03:39:00.797841
GENK	"[""GENK""]"	nGNX65FZ2B	05:45:00.098	2026-06-15	05:45:00.224	05:45:00.500	GEN Restaurant Group Secures Retail Placement at Smart & Final Stores	Globe Newswire	4.82	NASDAQ	2.1	18525.0	255.5549	2026-06-15 05:45:00.534375	0.771	0.0341	0.1949	0.737	positive	OK	accepted:1000	sentiment_ack	0.2997	0.4063	0.1978	0.731	0.3029	2026-06-15 05:45:01.172038
FENC	"[""FENC""]"	nGNXbwgGg9	06:00:00.196	2026-06-15	06:00:00.501	06:00:02.523	Fennec Pharmaceuticals Announces Inducement Grants Under Nasdaq Listing Rule 5635(C)(4)	Globe Newswire	29.7	NASDAQ	9.0	17100.0	7290.9524	2026-06-15 06:00:02.552591	0.141	0.0164	0.8425	0.1246	positive	BAD	accepted:1001	sentiment_bad_released	0.235	0.283	0.144	0.5707	0.1815	2026-06-15 06:00:04.034480
OWLS	"[""OWLS""]"	nGNX9rnWMs	06:00:00.349	2026-06-15	06:00:00.958	06:00:02.833	OwlTing Group (NASDAQ: OWLS) and Credible Finance Partner to Open China Payment Corridor	Globe Newswire	17.1	NASDAQ	5.79	22800.0	800.8462	2026-06-15 06:00:02.868253	0.2848	0.0116	0.7036	0.2732	positive	OK	accepted:1002	sentiment_ack	0.5707	0.6484	0.5252	0.8848	0.5788	2026-06-15 06:00:04.226037
CMTL	"[""CMTL""]"	nBw7Gxc3ha	06:00:00.441	2026-06-15	06:00:01.065	06:00:02.897	Comtech Announces Definitive Agreement to Sell Most of Its Satellite and Space Communications Business to Gilat	Business Wire	26.76	NASDAQ	4.83	9310.0	1254.9608	2026-06-15 06:00:02.950553	0.3251	0.0139	0.661	0.3112	positive	OK	accepted:1003	sentiment_ack	0.5416	0.6581	0.4979	0.8577	0.4558	2026-06-15 06:00:04.964115
MAX	"[""MAX""]"	nGNXbcng5X	06:33:00.180	2026-06-15	06:33:00.407	06:33:01.114	MAX Shareholder News: MediaAlpha Investors may have Rights in Investigation over FTC Settlement – Current Shareholders Urged to Contact BFA Law	Globe Newswire	28.09	NYSE	9.45	5428.6	8575.8704	2026-06-15 06:33:01.144055	0.1872	0.1575	0.6553	0.0297	neutral	BAD	accepted:1004	sentiment_bad_released	-0.0358	-0.0492	-0.0158	0.3267	-0.0554	2026-06-15 06:33:01.745902
SEAT	"[""SEAT""]"	nGNX7yV8j0	07:00:00.198	2026-06-15	07:00:00.339	07:00:00.738	Housecall Pro Appoints Stan Chia as Chief Executive Officer	Globe Newswire	3.87	NASDAQ	7.76	11400.0	1380.1667	2026-06-15 07:00:00.751275	0.0633	0.0404	0.8964	0.0229	neutral	BAD	accepted:1005	sentiment_bad_released	0.5166	0.5927	0.4152	0.7752	0.2906	2026-06-15 07:00:01.302548
JG	"[""JG""]"	nGNX5kc8VN	07:00:00.294	2026-06-15	07:00:00.775	07:00:05.604	Aurora Mobile’s Modellix Launches Vidu Q3-Mix to Enhance Content Production Efficiency Across Advertising, E-Commerce, and AI Drama	Globe Newswire	4.31	NASDAQ	5.11	25650.0	140.3333	2026-06-15 07:00:05.632582	0.5988	0.0109	0.3903	0.5879	positive	OK	accepted:1006	sentiment_ack	0.2302	0.3126	0.1854	0.7504	0.2371	2026-06-15 07:00:06.214377
