Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	MktCap	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
ATHR	"[""ATHR""]"	nGNX2tS7Cs	16:59:56.089	2026-06-16	16:59:56.196	16:59:56.554	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Aether Holdings, Inc. - ATHR	Globe Newswire	4.12	37.77	NASDAQ	3.11	34200.0	276.6	2026-06-16 16:59:56.576604	0.1031	0.1145	0.7825	-0.0114	neutral	BAD	accepted:1012	sentiment_bad_released	-0.0985	-0.1927	-0.0603	0.1621	-0.0362	2026-06-16 16:59:56.947057
NTIC	"[""NTIC""]"	nGNXbzmlVt	17:00:00.118	2026-06-16	17:00:00.472	17:00:00.875	Natur Tec India and Bayer to Develop Compostable Seedling Cups	Globe Newswire	7.83	76.41	NASDAQ	8.05	28500.0	383.25	2026-06-16 17:00:00.902329	0.3826	0.0105	0.607	0.3721	positive	OK	accepted:1008	sentiment_ack	0.5232	0.595	0.4283	0.7821	0.4537	2026-06-16 17:00:01.558759
TDTH	"[""TDTH""]"	nGNX4DCdDK	17:00:00.153	2026-06-16	17:00:00.604	17:00:02.250	Trident Announces Termination of Deposit Agreement, Concurrent Changes to Share Capital and Direct Listing of Ordinary Shares	Globe Newswire	3.0453	9.0	NASDAQ	2.52	2951.8	299.2841	2026-06-16 17:00:02.269897	0.044	0.1286	0.8274	-0.0846	negative	BAD	accepted:1016	sentiment_bad_released	0.1966	0.2315	0.1082	0.4356	0.0838	2026-06-16 17:00:02.840566
CNVS	"[""CNVS""]"	nPnbTsxXQa	17:04:19.533	2026-06-16	17:04:19.682	17:04:19.820	'Return to Silent Hill' from Cineverse Premieres on Hulu	PR Newswire	18.12	60.05	NASDAQ	2.82	23318.2	1070.9412	2026-06-16 17:04:19.837609	0.2434	0.0737	0.6829	0.1696	positive	OK	accepted:1010	sentiment_ack	0.1349	0.1768	0.1233	0.3365	0.0999	2026-06-16 17:04:20.340201
PHR	"[""PHR""]"	nACSN03P3a	17:12:00.687	2026-06-16	17:12:00.874	17:12:01.128	July 13, 2026 Deadline: Join Class Action Lawsuit Against Phreesia, Inc. (PHR) - Contact Levi & Korsinsky	ACCESSWIRE	49.77	560.02	NYSE	9.06	3221.0	20873.2676	2026-06-16 17:12:01.147690	0.169	0.1171	0.7139	0.052	positive	BAD	accepted:1006	sentiment_bad_released	-0.1388	-0.25	-0.0727	0.4762	-0.1268	2026-06-16 17:12:01.517452
AZTR	"[""AZTR""]"	nPn3qysTma	17:29:13.931	2026-06-16	17:29:14.089	17:29:14.266	Azitra, Inc. to Present at 2026 BIO International Convention	PR Newswire	16.19	3.43	NYSE AMERICAN	0.2117	1058.9	1247.1804	2026-06-16 17:29:14.294896	0.0904	0.0111	0.8985	0.0794	positive	BAD	accepted:1005	sentiment_bad_released	0.2047	0.1847	0.1537	0.3859	0.1633	2026-06-16 17:29:14.810061
TLSI	"[""TLSI""]"	nGNX4BpdXD	17:31:24.101	2026-06-16	17:31:24.172	17:31:24.290	INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of TriSalus Life Sciences Inc. - TLSI	Globe Newswire	38.14	231.54	NASDAQ	3.77	20900.0	6449.7059	2026-06-16 17:31:24.303708	0.0971	0.096	0.8068	0.0011	neutral	BAD	accepted:1015	sentiment_bad_released	-0.2836	-0.433	-0.1476	0.1596	-0.1603	2026-06-16 17:31:25.233290
YQ	"[""YQ""]"	nGNXbxqSQV	18:00:00.295	2026-06-16	18:00:00.893	18:00:01.268	17 Education & Technology Group Inc. Announces First Quarter 2026 Unaudited Financial Results	Globe Newswire	6.65	16.07	NASDAQ	2.35	10260.0	336.4615	2026-06-16 18:00:01.312825	0.1223	0.2168	0.6609	-0.0944	negative	BAD	accepted:1000	sentiment_bad_released	0.1512	0.1737	0.1407	0.8999	0.0593	2026-06-16 18:00:02.304685
PHR	"[""PHR""]"	nACSQDc3Ba	18:00:01.330	2026-06-16	18:00:01.554	18:00:01.858	PHR DEADLINE NOTICE: Phreesia, Inc. Investors Encouraged to Contact Kirby McInerney LLP By July 13, 2026	ACCESSWIRE	49.77	560.02	NYSE	9.06	3221.0	20873.2676	2026-06-16 18:00:01.954531	0.0713	0.0233	0.9053	0.048	neutral	BAD	accepted:1002	sentiment_bad_released	-0.0957	-0.1914	-0.0586	0.6863	-0.0743	2026-06-16 18:00:02.832949
MCRP	"[""MCRP""]"	nGNX7JwrmZ	18:27:00.102	2026-06-16	18:27:00.206	18:27:00.413	Micropolis Robotics Expands Physical AI Portfolio with Five-Year Autonomous Sweeper Deployment Agreement with Abu Dhabi Government	Globe Newswire	10.32	65.24	NYSE AMERICAN	1.87	11400.0	271.16	2026-06-16 18:27:00.429041	0.848	0.0078	0.1442	0.8402	positive	OK	accepted:1019	sentiment_ack	0.3674	0.4572	0.2674	0.7421	0.3756	2026-06-16 18:27:00.941172
