Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
TGE	"[""TGE""]"	nPRrG8460a	05:13:49.059	2026-06-16	05:13:49.122	05:13:49.348	REG-The Generation Essentials Group: Dr. Calvin Choi, Founder of AMTD IDEA, Successfully Re-Appointed as the President of the Hong Kong Island Federation	PR Newswire	44.18	NYSE	1.04	4783.9	616.1911	2026-06-16 05:13:49.373532	0.3777	0.0324	0.5898	0.3453	positive	OK	accepted:1000	sentiment_ack	0.129	0.0988	0.083	0.083	0.0853	2026-06-16 05:13:49.466116
SHMD	"[""SHMD""]"	nGNX7KVV6m	05:34:38.289	2026-06-16	05:34:38.400	05:34:38.635	SCHMID Group Records More than €26 Million Order Intake since Mid-May, Driven by AI Infrastructure and Optical Module Demand	Globe Newswire	26.38	NASDAQ	5.38	596.6	1030.5489	2026-06-16 05:34:38.653084	0.684	0.0211	0.2949	0.6629	positive	OK	accepted:1001	sentiment_ack	0.5608	0.6751	0.5091	0.8941	0.5341	2026-06-16 05:34:39.115455
BEEM	"[""BEEM""]"	nGNX8BHmWf	06:00:00.178	2026-06-16	06:00:00.366	06:00:00.794	Beam Global Granted European Patent for Smart Battery Solutions	Globe Newswire	21.22	NASDAQ	1.15	1733.9	931.7338	2026-06-16 06:00:00.809643	0.5871	0.0151	0.3978	0.572	positive	OK	accepted:1002	sentiment_ack	0.4878	0.5622	0.3183	0.7917	0.3966	2026-06-16 06:00:01.252534
EVTV	"[""EVTV""]"	nACSs4wx4a	06:30:00.759	2026-06-16	06:30:00.983	06:30:02.824	EVTV Advances 500 MW AI Data Center Vision as AZIO AI Adds A16Z Fund Strategy Leader to Advisory Team Amid Growing Interest in AI Infrastructure with Companies like SpaceX and xAI	ACCESSWIRE	12.55	NASDAQ	1.62	1701.4	696.4145	2026-06-16 06:30:02.856165	0.7774	0.0178	0.2048	0.7596	positive	OK	accepted:1003	sentiment_ack	0.4899	0.569	0.3994	0.8017	0.4103	2026-06-16 06:30:03.437445
YYGH	"[""YYGH""]"	nPn3tvr0xa	06:37:00.043	2026-06-16	06:37:00.173	06:37:00.368	YY Group Completes US$20 Million At-The-Market Equity Offering Program	PR Newswire	1.65	NASDAQ	0.119	1.1	1510.7986	2026-06-16 06:37:00.390854	0.2811	0.025	0.6939	0.2561	positive	OK	accepted:1004	sentiment_ack	0.3931	0.5182	0.3208	0.8435	0.3934	2026-06-16 06:37:00.892909
TRAK	"[""TRAK""]"	nBw6PBwQva	07:00:00.101	2026-06-16	07:00:00.417	07:00:00.787	ReposiTrak Traceability Network®, the World’s Largest Food Traceability Network, Surpasses 8.2 Million Supplier Records Collected	Business Wire	12.11	NYSE	9.41	25650.0	3843.4375	2026-06-16 07:00:00.806274	0.3749	0.0198	0.6053	0.3551	positive	OK	accepted:1006	sentiment_ack	0.3738	0.4668	0.2939	0.7544	0.3427	2026-06-16 07:00:01.412912
KTTA	"[""KTTA"", ""KTTAW""]"	nGNX7Cw8f8	07:00:00.522	2026-06-16	07:00:00.994	07:00:06.299	Pasithea Therapeutics Announces Amendments to Clinical Study Protocol for Phase 1/1B NF1 Clinical Trial	Globe Newswire	30.58	NASDAQ	0.5911	3927.7	1078.8974	2026-06-16 07:00:06.312727	0.1717	0.0238	0.8045	0.148	positive	BAD	accepted:1007	sentiment_bad_released	0.1833	0.2992	0.1551	0.666	0.2343	2026-06-16 07:00:07.615969
HCWB	"[""HCWB""]"	nGNX59NRZK	07:00:00.355	2026-06-16	07:00:01.668	07:00:09.859	HCW Biologics Announces Positive Results for Preliminary Human Data Readout for Phase 1 Clinical Trial Evaluating IL-2 Based Fusion Immunotherapeutic, HCW9302 Monotherapy, in Alopecia Areata	Globe Newswire	6.21	NASDAQ	1.28	100.9	486.3774	2026-06-16 07:00:09.890110	0.7804	0.0341	0.1855	0.7462	positive	OK	accepted:1008	sentiment_ignored	0.4014	0.4765	0.4014	0.8038	0.3589	2026-06-16 07:00:10.783531
PDYN	"[""PDYN""]"	nBw8YjhR4a	07:00:00.646	2026-06-16	07:00:01.934	07:00:11.150	Palladyne AI Deploys True Autonomy Drone-Swarming Software, SwarmOS™, During U.S. Army 4th Infantry Division Ivy Mass Exercise	Business Wire	29.18	NASDAQ	6.41	208.7	605.5146	2026-06-16 07:00:11.171485	0.1134	0.0248	0.8618	0.0886	positive	BAD	accepted:1009	sentiment_bad_released	0.4056	0.4933	0.3566	0.7741	0.3772	2026-06-16 07:00:12.035810
SUGP	"[""SUGP""]"	nPn1mpH8fa	07:00:11.776	2026-06-16	07:00:11.978	07:00:33.528	SU Group Announces Distribution Agreement with Germany's GEZE, Expanding Smart Building and Safety Technology Portfolio	PR Newswire	0.47	NASDAQ	0.94	73.6	331.2286	2026-06-16 07:00:33.541772	0.785	0.0094	0.2056	0.7756	positive	OK	accepted:1016	sentiment_ignored	0.4077	0.5666	0.3382	0.8837	0.3728	2026-06-16 07:00:34.732826
AUUD	"[""AUUD""]"	nGNXgrgzN	07:00:00.846	2026-06-16	07:00:02.815	07:00:33.666	Discovr Radio to Embed Across All Four Days of CAMP Toronto in First Major Activation with Beatcave	Globe Newswire	4.78	NASDAQ	1.32	273.9	366.2195	2026-06-16 07:00:33.703416	0.2673	0.0126	0.7202	0.2547	positive	OK	accepted:1012	sentiment_ack	0.1903	0.2315	0.15	0.4449	0.1287	2026-06-16 07:00:35.202049
VNCE	"[""VNCE""]"	nBw8sHFQda	07:00:00.539	2026-06-16	07:00:02.491	07:00:33.719	Vince Holding Corp. Reports First Quarter 2026 Results	Business Wire	4.33	NASDAQ	4.82	10640.0	1012.3103	2026-06-16 07:00:33.751702	0.0377	0.0428	0.9195	-0.0051	neutral	BAD	accepted:1010	sentiment_bad_released	0.4434	0.5328	0.4234	0.9181	0.5418	2026-06-16 07:00:35.806713
NEPH	"[""NEPH""]"	nGNX2GzYxh	07:00:00.994	2026-06-16	07:00:02.510	07:00:33.727	Nephros Positions Ultrafiltration Technology as a Solution to Emerging Microplastic Risk in Water	Globe Newswire	9.41	NASDAQ	3.34	19380.0	209.0	2026-06-16 07:00:33.756524	0.5176	0.0115	0.4709	0.5061	positive	OK	accepted:1011	sentiment_ack	0.3504	0.5105	0.3313	0.8221	0.3523	2026-06-16 07:00:36.013368
VENU	"[""VENU""]"	nBw4hn09Ma	07:00:01.190	2026-06-16	07:00:03.281	07:00:33.905	VENU's Ford Amphitheater Reports Exceptional Premium Seating Performance Across Back-to-Back Shows	Business Wire	42.96	NYSE AMERICAN	3.42	4944.9	905.0175	2026-06-16 07:00:33.937552	0.9297	0.0157	0.0546	0.914	positive	OK	accepted:1013	sentiment_ignored	0.4548	0.5436	0.3704	0.7947	0.4468	2026-06-16 07:00:36.725704
