Symbol	Tickers	ID	ArrivalDate	Created	ArrivalTime	CurlTime	Headline	Author	Float	MktCap	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
MOGU	"[""MOGU""]"	nBw481tnja	2026-06-22	06:34:00.256	06:34:01.011	06:34:01.260	MOGU Announces Unaudited Financial Results for the Six Months Ended March 31, 2026 and Fiscal Year 2026	Business Wire	7.1	15.11	NYSE	2.11	34200.0	254.9167	2026-06-22 06:34:01.306445	0.0617	0.0571	0.8812	0.0047	neutral	BAD	accepted:1000	sentiment_bad_released	-0.2602	-0.3138	-0.2344	0.8773	-0.1326	2026-06-22 06:34:02.149125
CANF	"[""CANF""]"	nGNE18dB9Z	2026-06-22	07:00:00.283	07:00:01.433	07:00:06.863	Can-Fite Publishes Peer-Reviewed Scientific Article Demonstrating the Broad Therapeutic Potential of Piclidenoson and Namodenoson	Globe Newswire	2.1425	6.38	NYSE AMERICAN	2.98	4037.5	287.975	2026-06-22 07:00:06.885490	0.753	0.0104	0.2366	0.7426	positive	BAD	accepted:1001	sentiment_bad_released	0.3731	0.4976	0.336	0.7964	0.2527	2026-06-22 07:00:07.309723
TRAW	"[""TRAW""]"	nGNXbMtG2x	2026-06-22	07:00:00.517	07:00:02.041	07:00:09.653	Traws Pharma Provides Updated Guidance on Influenza Prophylaxis Program	Globe Newswire	12.64	12.88	NASDAQ	0.8503	1913.6	784.219	2026-06-22 07:00:09.678615	0.0954	0.0176	0.887	0.0778	positive	BAD	accepted:1003	sentiment_bad_released	0.3694	0.4227	0.2683	0.7292	0.3453	2026-06-22 07:00:10.219922
AUUD	"[""AUUD""]"	nGNX8r89wW	2026-06-22	07:00:00.615	07:00:04.652	07:00:14.014	Auddia Announces LT350 Advancement Toward First AI Datacenter Deployment, Engaging Fresh Consulting to Lead Engineering and Development	Globe Newswire	4.78	7.4	NASDAQ	1.38	478.3	749.8386	2026-06-22 07:00:14.054704	0.6898	0.0102	0.3	0.6797	positive	BAD	accepted:1004	sentiment_ignored	0.4583	0.556	0.3777	0.7697	0.4089	2026-06-22 07:00:14.664527
GLMD	"[""GLMD""]"	nPn3cVBvba	2026-06-22	07:00:06.665	07:00:06.904	07:00:16.419	Galmed Pharmaceuticals Ltd. Announces Restructured Acquisition Terms for Colospan Ltd., Prioritizing CG-100 European Commercialization and Shareholder Value Protection and Consummation of Acquisition	PR Newswire	6.4	4.46	NASDAQ	0.58	1639.2	638.9537	2026-06-22 07:00:16.442050	0.2031	0.0223	0.7746	0.1808	positive	BAD	accepted:1005	sentiment_ignored	0.4236	0.4892	0.4236	0.8091	0.4422	2026-06-22 07:00:16.925154
PBK	"[""PBK""]"	nPn54J3y1a	2026-06-22	07:07:00.254	07:07:00.512	07:07:00.819	PowerBank Highlights High-Functioning Projects Across Independent Power Producer Portfolio	PR Newswire	42.98	39.52	NASDAQ	0.84	389.2	491.4624	2026-06-22 07:07:00.849486	0.4968	0.01	0.4932	0.4868	positive	BAD	accepted:1006	sentiment_bad_released	0.2296	0.2437	0.2141	0.7353	0.2778	2026-06-22 07:07:01.333640
EDBL	"[""EDBL"", ""EDBLW""]"	nGNX8lR4gC	2026-06-22	07:23:00.096	07:23:00.257	07:23:00.454	"Edible Garden's Pickle Party™ Named ""Overall Plant-Based Snack Product of the Year"" in 2026 Mindful Awards Program"	Globe Newswire	4.48	1.19	NASDAQ	0.2178	447.6	984.8332	2026-06-22 07:23:00.479620	0.6076	0.0518	0.3407	0.5558	positive	BAD	accepted:1007	sentiment_bad_released	0.5286	0.6386	0.5043	0.853	0.5355	2026-06-22 07:23:01.367460
SKYQ	"[""SKYQ""]"	nACS8PYMfa	2026-06-22	07:29:43.219	07:29:43.400	07:29:43.701	Sky Quarry Enters Production Phase at Nevada's Only Refinery	ACCESSWIRE	3.85	5.61	NASDAQ	1.17	323.1	395.1289	2026-06-22 07:29:43.727769	0.1791	0.0226	0.7983	0.1565	positive	BAD	accepted:1008	sentiment_bad_released	0.2275	0.21	0.1911	0.7731	0.135	2026-06-22 07:29:44.156832
MDCX	"[""MDCX""]"	nGNX5lmpJt	2026-06-22	07:30:00.286	07:30:01.057	07:30:03.819	Medicus Pharma to Showcase SkinJect® Registrational Strategy and Teverelix® Precision Medicine Program at Bio International 2026	Globe Newswire	10.24	25.92	NASDAQ	0.4575	261.1	1227.526	2026-06-22 07:30:03.844890	0.2735	0.0117	0.7148	0.2618	positive	BAD	accepted:1009	sentiment_bad_released	0.3751	0.4665	0.3751	0.7424	0.3108	2026-06-22 07:30:04.384842
CTRM	"[""CTRM"", ""1C1""]"	nGNX5lPvQf	2026-06-22	07:45:52.089	07:45:52.248	07:45:52.402	Castor Maritime Inc. Announces Vessel Acquisition	Globe Newswire	9.65	20.77	NASDAQ	2.15	8550.0	277.4762	2026-06-22 07:45:52.426718	0.0944	0.062	0.8436	0.0324	neutral	BAD	accepted:1010	sentiment_bad_released	0.224	0.2787	0.1299	0.5542	0.1632	2026-06-22 07:45:53.390444
