Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt	LastDailyClose	itiBaseline	tradeSizeBaseline	Sentiment	ClerkArm	ClerkSentiment	Created	ArrivalDate	CurlTime	MktCap	DailyHigh($)	DailyHigh(%)	Headline-RBscore
BRAI	"[""BRAI""]"	nPRrJ3190a	2026-05-19 02:00:26	REG-BlackRock American Income Trust Plc: Total Voting Rights	PR Newswire	17.7	LSE	2026-05-19 02:00:26.777848	0.0747	0.0127	0.9126	0.062	positive	NO:sentiment_score	0.0	0.0618	0.0564	0.071	0.0599														50
CRE	"[""CRE"", ""PNPN""]"	nPnwvPRxa	2026-05-19 02:30:00	Power Metallic Announces Expansion In the Kingdom of Saudi Arabia via Joint Venture With Amaar Mining	PR Newswire	1.1		2026-05-19 02:30:00.113529	0.4565	0.0126	0.5309	0.4439	positive	NO:sentiment_score	0.3765	0.4809	0.2825	0.8809	0.5082														50
SAM	"[""SAM""]"	nNFCcfzvSW	2026-05-19 02:30:12	STARCORE Reports Fourth Quarter Production Results	Newsfile Corp	7.5	TSX	2026-05-19 02:30:12.305632	0.2169	0.0855	0.6976	0.1314	positive	NO:sentiment_score	0.1629	0.1623	0.1143	0.6757	0.0894														50
LEGT	"[""LEGT""]"	nPn4P3B1Xa	2026-05-19 02:43:47	Einride Expands Partnership with Paulig, Electrifying Long-Haul Shipments Along Sweden's West Coast	PR Newswire	21.11	NYSE AMERICAN	2026-05-19 02:43:47.226862	0.8922	0.0102	0.0977	0.882	positive	YES	0.3202	0.3957	0.1691	0.7755	0.3543														58
TTGT	"[""TTGT""]"	nBwbpqhBQa	2026-05-19 03:00:00	Omdia: Amazon, Netflix and Google to Capture Half of $81 Billion CTV Advertising Market by 2030	Business Wire	29.15	NASDAQ	2026-05-19 03:00:00.568497	0.5524	0.0107	0.4369	0.5417	positive	NO:sentiment_score	0.3454	0.3895	0.2728	0.6677	0.2771												5.04	12.0	50
LPCN	"[""LPCN""]"	nGNX8Synz6	2026-05-19 04:00:00	Anaveon Strengthens Leadership Team with Appointments of Eric Zanelli as Chief Scientific Officer and Jill Jene as Chief Business Officer	Globe Newswire	6.93	NASDAQ	2026-05-19 04:00:00.282963	0.7977	0.0129	0.1894	0.7848	positive	YES	0.3686	0.5216	0.2818	0.7908	0.4067												2.37	3.95	50
VMAR	"[""VMAR""]"	nPn65ZCtfa	2026-05-19 04:00:01	Vision Marine Technologies Provides Shareholder Update Highlighting Commercial Expansion and Operational Execution	PR Newswire	0.83	NASDAQ	2026-05-19 04:00:01.357790	0.1164	0.0112	0.8725	0.1052	positive	NO:sentiment_score	0.4678	0.5588	0.3762	0.8977	0.4393												9.2	23.82	50
AMG	"[""AMG""]"	nGNE7qBx8z	2026-05-19 05:07:02	REG-Dimensional Fund Advisors Ltd. : Form 8.3 - AMG CRITICAL MATERIALS N.V. - Ordinary Shares	Globe Newswire	25.59	EURONEXT AMSTERDAM	2026-05-19 05:07:02.250138	0.073	0.0311	0.8959	0.042	neutral	NO:sentiment_score	0.0404	0.0357	0.031	0.061	0.0208														50
CMND	"[""CMND""]"	nGNE9xfrC6	2026-05-19 06:00:00	Clearmind Medicine Announces 1-for-10 Reverse Share Split	Globe Newswire	1.71	NASDAQ	2026-05-19 06:00:00.563179	0.1004	0.0273	0.8723	0.0731	positive	NO:sentiment_score	0.009	-0.0298	0.0298	0.1958	0.0692												3.69	0.54	50
AUUD	"[""AUUD""]"	nGNXc4gyTS	2026-05-19 06:00:00	Auddia Highlights LT350’s Parking-Lot Canopy Network as an Alternative to Farmland-Devouring AI Megacenters	Globe Newswire	0.5	NASDAQ	2026-05-19 06:00:00.820544	0.7335	0.0087	0.2578	0.7248	positive	YES	0.2202	0.2333	0.145	0.6295	0.1946												2.37	4.87	58
LUXE	"[""LUXE"", ""0FVY""]"	nBwKzNfQa	2026-05-19 06:00:00	Q3 FY26 Results: LuxExperience Group Reports Positive Adjusted EBITDA Profitability for the Second Consecutive Quarter, Confirming Full Fiscal Year 2026 Guidance as Transformation Plan Is Fully on Track	Business Wire	17.612	NYSE	2026-05-19 06:00:00.835853	0.9381	0.0235	0.0384	0.9146	positive	YES	0.1784	0.29	0.1079	0.9262	0.6677												7.65	-5.79	80
INM	"[""INM""]"	nNFC5K5SlP	2026-05-19 06:00:16	InMed Pharmaceuticals Amends Preferred Investment Options	Newsfile Corp	3.31	NASDAQ	2026-05-19 06:00:16.492151	0.1261	0.0744	0.7995	0.0517	positive	NO:sentiment_score	0.1033	0.0874	0.0768	0.1997	0.0943												2.09	207.35	58
HBNB	"[""HBNB""]"	nGNX9bTtz4	2026-05-19 06:15:00	Hotel101 Global Reaches Record Single-Day Revenue Generation at 100% Occupancy in Hotel101 Madrid	Globe Newswire	13.94	NASDAQ	2026-05-19 06:15:00.204492	0.8457	0.0134	0.1409	0.8323	positive	YES	0.2676	0.376	0.2035	0.8137	0.3447												5.9	-0.84	58
NAII	"[""NAII""]"	nGNX4cw4QQ	2026-05-19 06:15:00	Natural Alternatives International, Inc. Announces 2026 Q3 and YTD Results	Globe Newswire	5.03	NASDAQ	2026-05-19 06:15:00.398573	0.0815	0.0732	0.8452	0.0083	neutral	NO:sentiment_score	0.1858	0.2081	0.1669	0.9259	0.1248												2.59	0.0	50
IPM	"[""IPM""]"	nACSc3mBja	2026-05-19 06:30:00	Intelligent Protection Management Corp. Launches IPM Private Cloud AI Offering	ACCESSWIRE	5.73	NASDAQ	2026-05-19 06:30:00.835866	0.072	0.0192	0.9087	0.0528	positive	NO:sentiment_score	0.3541	0.3845	0.2107	0.7184	0.2957												1.95	5.41	70
SAFX	"[""SAFX""]"	nACSgVy81a	2026-05-19 06:30:01	XCF Global CEO Chris Cooper to Spotlight Revitalizing Louisiana and U.S. Forestry Infrastructure and Advancing Next -Generation Fuels Including Bio-Methanol at the Louisiana Energy Conference	ACCESSWIRE	32.88	NASDAQ	2026-05-19 06:30:01.046459	0.4224	0.0252	0.5525	0.3972	positive	NO:sentiment_score	0.1678	0.2364	0.1097	0.7096	0.2178												0.44	12.82	58
DBI	"[""DBI""]"	nPn3HqrWCa	2026-05-19 06:45:01	Designer Brands Inc. Announces First Quarter 2026 Earnings Release Date	PR Newswire	34.38	NYSE	2026-05-19 06:45:01.442077	0.0416	0.071	0.8874	-0.0294	neutral	NO:sentiment_score	0.249	0.2132	0.1233	0.3417	0.1035												6.29	2.61	50
AMG	"[""AMG""]"	nGNE3zPj6F	2026-05-19 06:49:38	REG-Man Group PLC : Form 8.3 - AMG Critical Materials N.V	Globe Newswire	25.59	EURONEXT AMSTERDAM	2026-05-19 06:49:38.216502	0.1187	0.0526	0.8286	0.0661	positive	NO:sentiment_score	0.0543	0.0415	0.0339	0.0758	0.0288														50
BRAI	"[""BRAI""]"	nPRrJ4285a	2026-05-19 06:57:08	REG-BlackRock American Income Trust Plc: Net Asset Value(s)	PR Newswire	17.7	LSE	2026-05-19 06:57:08.455005	0.0711	0.0375	0.8914	0.0336	neutral	NO:sentiment_score	0.0	0.0286	0.0279	0.0431	0.0272														50
AMBO	"[""AMBO""]"	nGNX4THxb8	2026-05-19 07:00:00	Ambow Education Holding Ltd. (NYSE American: AMBO) Launches HybriU Collaboration Board, Bringing One-Scan Real-Time Collaboration to Meetings, Classrooms, Workshops, and Live Events	Globe Newswire	2.62	NYSE AMERICAN	2026-05-19 07:00:00.410308	0.1858	0.0128	0.8014	0.173	positive	NO:sentiment_score	0.288	0.3028	0.1496	0.6832	0.1362												2.9	23.4	50
TACT	"[""TACT""]"	nBw8g4vcBa	2026-05-19 07:00:00	TransAct Technologies Announces Successful OEM Partnership with MedVantage	Business Wire	9.02	NASDAQ	2026-05-19 07:00:00.528022	0.9168	0.0138	0.0694	0.903	positive	YES	0.5309	0.5902	0.3399	0.8617	0.6196												3.9	3.45	58
OKYO	"[""OKYO""]"	nGNExqs9Q	2026-05-19 07:00:00	OKYO Expands Scientific Advisory Board with the Appointment of International Expert Marta Sacchetti, MD, PhD	Globe Newswire	35.0	NASDAQ	2026-05-19 07:00:00.532172	0.2416	0.0115	0.7469	0.2301	positive	NO:sentiment_score	0.4022	0.5144	0.3185	0.8343	0.385												1.61	-0.62	50
QUCY	"[""QUCY"", ""4TO""]"	nGNX9kPV2b	2026-05-19 07:00:01	Quantum Cyber Files Patent with USPTO for Autonomous Naval Mine Countermeasure System Addressing Iran's Mining of the Strait of Hormuz and Trump Administration Homeland Security Priorities	Globe Newswire	10.66	NASDAQ	2026-05-19 07:00:01.030203	0.4834	0.0308	0.4858	0.4526	positive	NO:sentiment_score	0.1542	0.1412	0.1165	0.6933	0.1317												3.67	16.51	40
BLCO	"[""BLCO""]"	nBw6GSXa	2026-05-19 07:00:01	Bausch + Lomb Launches PreserVision AREDS3™ Eye Vitamins in the United States	Business Wire	37.56	TSX	2026-05-19 07:00:01.196466	0.2575	0.0177	0.7249	0.2398	positive	NO:sentiment_score	0.2952	0.309	0.1652	0.717	0.3845														50
OESX	"[""OESX""]"	nGNX6RSNfD	2026-05-19 07:00:01	Orion Announces Preliminary FY26 Revenue of $86M and Approximately $2M Adjusted EBITDA; Reiterates Expectations for Increased Growth and Profitability in FY 2027	Globe Newswire	3.65	NASDAQ	2026-05-19 07:00:01.199385	0.8888	0.0132	0.098	0.8756	positive	YES	0.3497	0.4226	0.2208	0.7638	0.3284												9.12	0.33	76
XRTX	"[""XRTX""]"	nGNX5wW9sp	2026-05-19 07:00:01	XORTX Announces Closing of US$5 Million Public Offering	Globe Newswire	1.25		2026-05-19 07:00:01.467944	0.128	0.0661	0.8059	0.0619	positive	NO:sentiment_score	0.1571	0.1368	0.0854	0.4194	0.0953														72
FF	"[""FF""]"	nPn3yRz0la	2026-05-19 07:00:02	First Mining Reports New High-Grade Gold Drill Intercepts from North Zone, South Zone, and Minuit Targets at its Duparquet Project	PR Newswire	26.13	TSX	2026-05-19 07:00:02.429380	0.4948	0.0175	0.4877	0.4773	positive	NO:sentiment_score	0.2861	0.361	0.1885	0.8158	0.3023														50
BLRX	"[""BLRX""]"	nPn6XpzJba	2026-05-19 07:00:10	BioLineRx and Hemispherian Announce New GLIX1 Data Demonstrating Potent Anti-Tumor Effect in Glioblastoma (GBM) Across Multiple In-Vivo Studies, Including a Temozolomide (TMZ)-Resistant Model with Patient-Derived Xenografts	PR Newswire	4.33	NASDAQ	2026-05-19 07:00:10.605959	0.7719	0.0194	0.2087	0.7525	positive	YES	0.2893	0.3349	0.1993	0.7986	0.3751												3.91	25.72	55
ANTA	"[""ANTA"", ""AURE""]"	nGNXb7lhmV	2026-05-19 07:04:27	Antalpha Reports First Quarter 2026 Results	Globe Newswire	2.51	NASDAQ	2026-05-19 07:04:27.407216	0.0753	0.048	0.8767	0.0273	neutral	NO:sentiment_score	0.3501	0.4475	0.2231	0.9318	0.4079												8.98	2.98	50
AURE	"[""ANTA"", ""AURE""]"	nGNXb7lhmV	2026-05-19 07:04:27	Antalpha Reports First Quarter 2026 Results	Globe Newswire	10.9	NASDAQ	2026-05-19 07:04:27.408416	0.0753	0.048	0.8767	0.0273	neutral	NO:sentiment_score	0.3489	0.4463	0.2191	0.9318	0.443												2.48	0.0	50
LVWR	"[""LVWR""]"	nBw8WTVgHa	2026-05-19 07:30:00	LiveWire Group, Inc. Acquires Dust Moto	Business Wire	9.55	NYSE	2026-05-19 07:30:00.305769	0.0889	0.073	0.8381	0.0159	neutral	NO:sentiment_score	0.5432	0.5904	0.335	0.7987	0.3838												1.43	12.6	62
CREX	"[""CREX""]"	nGNX3mX1Pp	2026-05-19 07:30:00	Creative Realities to Participate in Upcoming Craig-Hallum Conference	Globe Newswire	9.09	NASDAQ	2026-05-19 07:30:00.308003	0.1675	0.0227	0.8099	0.1448	positive	NO:sentiment_score	0.2283	0.2706	0.1016	0.3542	0.1198												3.75	5.04	50
RENX	"[""RENX""]"	nGNEbksm7K	2026-05-19 07:30:00	RenX Advances Microtec Commercialization with Customer Sample Run in Germany	Globe Newswire	2.3	NASDAQ	2026-05-19 07:30:00.372818	0.2166	0.011	0.7724	0.2057	positive	NO:sentiment_score	0.2469	0.3161	0.2036	0.661	0.2438												1.6	3.23	50
