Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms
NUAI	"[""NUAI""]"	nACS5rQ3ya	2026-05-03 20:35:00	ROSEN, A RANKED AND LEADING LAW FIRM, Encourages New Era Energy & Digital, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - NUAI	ACCESSWIRE	73.85	0.3002	0.0357	0.6641	0.2645	positive		NO:Float,Trades/sec	NASDAQ	4.18	3.98				
YOOV	"[""YOOV""]"	nACSgFgDja	2026-05-03 20:45:01	ROSEN, A GLOBALLY RECOGNIZED FIRM, Encourages Concorde International Group Ltd. Investors to Secure Counsel Before Important Deadline in Securities Class Action - YOOV	ACCESSWIRE	5.91	0.1701	0.0358	0.7941	0.1342	positive	0.0227027027027027	NO:sentiment_score	NASDAQ	1.63	4.49				
GOSS	"[""GOSS""]"	nACS1P7Nba	2026-05-03 21:20:00	ROSEN, A RANKED AND LEADING FIRM, Encourages Gossamer Bio, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - GOSS	ACCESSWIRE	204.1	0.2289	0.0427	0.7284	0.1862	positive	0.0019719976336028	NO:sentiment_score,Float	NASDAQ	0.38	2.7				
MOLN	"[""MOLN""]"	nGNX5wxm0N	2026-05-04 01:00:00	Molecular Partners to hold oral presentations on DLL3-targeting Radio-DARPin candidate MP0712 at multiple upcoming scientific conferences	Globe Newswire	37.31	0.2464	0.0122	0.7415	0.2342	positive	0.0058428279287175	YES							
BTGO	"[""BTGO""]"	nBw6Kfzbka	2026-05-04 03:00:00	BitGo Expands European ETP Infrastructure with Appointment as Custody Partner for Virtune	Business Wire	65.1	0.5196	0.0092	0.4712	0.5104	positive	0.0020889910173386	NO:Float	NYSE	11.75	13.53				
ELSE	"[""ELSE""]"	nBw1FY9GNa	2026-05-04 04:00:00	Battery Ventures-Backed steute Technologies Announces Three New Acquisitions to Expand its Global Platform Across Medical and Industrial Applications	Business Wire	1.63	0.7774	0.0089	0.2137	0.7685	positive	0.0032611918173732	YES	NASDAQ	7.66	0.39				
GENK	"[""GENK""]"	nGNXbhQlMb	2026-05-04 04:00:00	GEN Korean BBQ Further Expands CPG Line with Specialty Beverage Retailer: BevMo	Globe Newswire	4.69	0.9141	0.012	0.0739	0.9021	positive		NO:Trades/sec	NASDAQ	1.78	9.2				
CWH	"[""CWH""]"	nPn8JJKY2a	2026-05-04 04:13:00	Camping World Holdings, Inc. Sued for Securities Law Violations - Contact the DJS Law Group to Discuss Your Rights - CWH	PR Newswire	58.96	0.1161	0.0967	0.7873	0.0194	neutral	0.0118110236220472	NO:sentiment_score,Float	NYSE	7.96	2.45				
GEMI	"[""GEMI""]"	nPn1gjQNKa	2026-05-04 04:16:00	GEMI Investors Have Opportunity to Lead Gemini Space Station, Inc. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	38.2	0.2133	0.0388	0.748	0.1745	positive	0.0496277915632754	NO:sentiment_score	NASDAQ	5.0	5.26				
GOCO	"[""GOCO""]"	nNFC5K93qh	2026-05-04 05:00:20	"Go Metals Produces Premium ""Green Iron"" Concentrate with Vanadium Credit and High-Grade TiO2 Ilmenite from Bench-scale Testing and Announces Private Placement"	Newsfile Corp	11.8	0.5547	0.0123	0.433	0.5425	positive		NO:Trades/sec							
AUUD	"[""AUUD""]"	nGNX4nwJWx	2026-05-04 06:00:00	Auddia Introduces Voyex as Stranded Spirit Airlines Passengers Highlight Urgent Need for Agentic AI Rebooking Infrastructure	Globe Newswire	0.5	0.1621	0.1851	0.6528	-0.0229	neutral	0.0471869328493647	NO:sentiment_score	NASDAQ	1.95	8.33				
SNT	"[""SNT""]"	nPn9j7gHfa	2026-05-04 06:00:00	Senstar Technologies Announces Filing and Availability of 2025 Annual Report on Form 20-F	PR Newswire	13.47	0.0747	0.0383	0.8869	0.0364	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.9	5.45				
AURA	"[""AURA""]"	nGNXbFRcs7	2026-05-04 06:01:00	Aura Biosciences Announces CEO Transition as Company Advances Phase 3 CoMpass Trial Toward Enrollment Completion 	Globe Newswire	44.71	0.3137	0.1382	0.5481	0.1754	positive		NO:sentiment_score,Trades/sec	NASDAQ	8.49	21.11				
AHRT	"[""AHRT""]"	nGNXb82Rzg	2026-05-04 06:04:00	AH Realty Trust Signs 22,000-Square-Foot Office Lease at Southern Post	Globe Newswire	79.06	0.2003	0.0171	0.7826	0.1832	positive	0.0008930166101089	NO:sentiment_score,Float	NYSE	6.14	0.99				
SAFX	"[""SAFX""]"	nACSbz0yNa	2026-05-04 06:30:00	XCF Global Provides First Quarter 2026 Corporate and Operational Update Establishes 2027 Targets of $110-$120M Net Revenue and 40-43M Gallons of Renewable Fuel Production at New Rise Reno	ACCESSWIRE	32.88	0.3283	0.0128	0.6589	0.3155	positive	0.0219058050383351	YES	NASDAQ	0.64	30.61				
CLNE	"[""CLNE""]"	nBw9qwHRsa	2026-05-04 06:30:00	Clean Energy Broadens RNG Footprint With New Stations Positioned on Key Freight Corridors	Business Wire	140.04	0.8523	0.0094	0.1383	0.8428	positive	0.0011985617259288	YES	NASDAQ	2.44	4.27				
