Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms	neutral_filter	confidence_weighted	net_score	top_k	positional	recommended
YOOV	"[""YOOV""]"	nACSgFgDja	2026-05-03 20:45:01	ROSEN, A GLOBALLY RECOGNIZED FIRM, Encourages Concorde International Group Ltd. Investors to Secure Counsel Before Important Deadline in Securities Class Action - YOOV	ACCESSWIRE	5.91	0.1701	0.0358	0.7941	0.1342	positive	0.0227027027027027	NO:sentiment_score	NASDAQ	1.63	4.49					0.0	0.0159	0.0126	0.0162	0.0157	0.0
ELSE	"[""ELSE""]"	nBw1FY9GNa	2026-05-04 04:00:00	Battery Ventures-Backed steute Technologies Announces Three New Acquisitions to Expand its Global Platform Across Medical and Industrial Applications	Business Wire	1.63	0.7774	0.0089	0.2137	0.7685	positive	0.0032611918173732	YES	NASDAQ	7.66	0.39					0.5082	0.5082	0.5082	0.5082	0.5082	0.5082
GENK	"[""GENK""]"	nGNXbhQlMb	2026-05-04 04:00:00	GEN Korean BBQ Further Expands CPG Line with Specialty Beverage Retailer: BevMo	Globe Newswire	4.69	0.9141	0.012	0.0739	0.9021	positive		NO:Trades/sec	NASDAQ	1.78	9.2					0.4829	0.449	0.3501	0.3501	0.4237	0.4859
GEMI	"[""GEMI""]"	nPn1gjQNKa	2026-05-04 04:16:00	GEMI Investors Have Opportunity to Lead Gemini Space Station, Inc. Securities Fraud Lawsuit with the Schall Law Firm	PR Newswire	38.2	0.2133	0.0388	0.748	0.1745	positive	0.0496277915632754	NO:sentiment_score	NASDAQ	5.0	5.26					-0.2663	-0.3147	-0.1383	-0.2625	-0.1214	-0.3768
AUUD	"[""AUUD""]"	nGNX4nwJWx	2026-05-04 06:00:00	Auddia Introduces Voyex as Stranded Spirit Airlines Passengers Highlight Urgent Need for Agentic AI Rebooking Infrastructure	Globe Newswire	0.5	0.1621	0.1851	0.6528	-0.0229	neutral	0.0471869328493647	NO:sentiment_score	NASDAQ	1.95	8.33					0.2109	0.291	0.172	0.2853	0.1281	0.3211
SNT	"[""SNT""]"	nPn9j7gHfa	2026-05-04 06:00:00	Senstar Technologies Announces Filing and Availability of 2025 Annual Report on Form 20-F	PR Newswire	13.47	0.0747	0.0383	0.8869	0.0364	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.9	5.45					0.0	0.0163	0.0166	0.0166	0.0147	0.0
AURA	"[""AURA""]"	nGNXbFRcs7	2026-05-04 06:01:00	Aura Biosciences Announces CEO Transition as Company Advances Phase 3 CoMpass Trial Toward Enrollment Completion 	Globe Newswire	44.71	0.3137	0.1382	0.5481	0.1754	positive		NO:sentiment_score,Trades/sec	NASDAQ	8.49	21.11					0.3667	0.4696	0.268	0.7751	0.3525	0.5162
SAFX	"[""SAFX""]"	nACSbz0yNa	2026-05-04 06:30:00	XCF Global Provides First Quarter 2026 Corporate and Operational Update Establishes 2027 Targets of $110-$120M Net Revenue and 40-43M Gallons of Renewable Fuel Production at New Rise Reno	ACCESSWIRE	32.88	0.3283	0.0128	0.6589	0.3155	positive	0.0219058050383351	YES	NASDAQ	0.64	30.61					0.3667	0.4351	0.1798	0.7575	0.3914	0.5499
SEER	"[""SEER""]"	nGNX381GLy	2026-05-04 07:00:00	Seer Announces Appointment of Anthony Bazarko as Chief Commercial Officer	Globe Newswire	29.44	0.0491	0.0427	0.9082	0.0064	neutral	0.0004369674459252	NO:sentiment_score	NASDAQ	2.09	2.96					0.2208	0.1601	0.1216	0.1216	0.0556	0.2208
CBUS	"[""CBUS""]"	nGNXvjxr9	2026-05-04 07:00:00	Cibus Announces Transfer of Gene-Edited Herbicide Tolerance Traits in Interoc Rice Seeds for Testing and Production	Globe Newswire	47.19	0.4981	0.0138	0.4881	0.4843	positive		NO:Trades/sec	NASDAQ	1.54	6.21					0.3535	0.3535	0.3535	0.3535	0.3535	0.3535
