Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)
EQNR	"[""EQNR""]"	nGNE3tZqJz	2026-05-06 00:45:00	REG-Equinor first quarter 2026 results	Globe Newswire	2530.0	0.0539	0.0539	0.8922	0.0	neutral	0.006088721368512612	NO:sentiment_score,Float	Oslo Børs		
PHG	"[""PHG""]"	nGNE3FLNQ2	2026-05-06 01:00:00	Philips delivers strong order intake, comparable sales growth and margin expansion in Q1; 2026 outlook reiterated	Globe Newswire	951.29	0.9235	0.0117	0.0649	0.9118	positive	0.0018450184501845018	NO:Float	Euronext Amsterdam		
LAES	"[""LAES"", ""WIHN""]"	nGNX1SVm0Y	2026-05-06 01:00:00	WISeKey Issues CEO Letter to Shareholders	Globe Newswire	215.17	0.1192	0.037	0.8437	0.0822	positive	0.0398406374501992	YES	NASDAQ	3.36	15.46
WIHN	"[""LAES"", ""WIHN""]"	nGNX1SVm0Y	2026-05-06 01:00:00	WISeKey Issues CEO Letter to Shareholders	Globe Newswire		0.1192	0.037	0.8437	0.0822	positive		NO:Float,Trades/sec	NASDAQ		
SCOR	"[""SCOR""]"	nGNEHyQ31	2026-05-06 01:01:43	REG-First quarter 2026 results: EUR 225 million net income in Q1 2026	Globe Newswire	11.21	0.1521	0.1385	0.7094	0.0136	neutral	0.004267425320056899	NO:sentiment_score	Euronext Paris		
SMID	"[""SMID""]"	nBw8nTdWJa	2026-05-06 02:00:00	REG-First Trust Global Funds PLC Net Asset Value(s)	Business Wire	4.57	0.0738	0.0729	0.8534	0.0009	neutral	0.037037037037037035	NO:sentiment_score	LSE		
IHG	"[""IHG""]"	nACSshbFDa	2026-05-06 02:00:00	InterContinental Hotels Group PLC Announces Transaction in Own Shares - May 06	ACCESSWIRE	149.25	0.072	0.0267	0.9013	0.0453	neutral	0.0036375661375661374	NO:sentiment_score	LSE		
SFL	"[""SFL""]"	nWkr8Dqxy0	2026-05-06 02:30:05	Safello's TAO ETP wins award at XENIX ETF Awards Nordics 2026	Cision	106.87	0.7242	0.0278	0.248	0.6964	positive	0.0015411882561454883	YES	Nasdaq Stockholm		
EGAN	"[""EGAN""]"	nGNX2GMZWy	2026-05-06 03:30:20	eGain Evaluator Now Brings Continuous Quality Assurance to AI-Generated Answers	Globe Newswire	17.65	0.3496	0.0094	0.641	0.3402	positive	0.003271861986912552	YES	NASDAQ	8.11	0.75
RERE	"[""RERE""]"	nPn1K01h2a	2026-05-06 04:00:01	ATRenew to Report First Quarter 2026 Financial Results on May 19, 2026	PR Newswire	131.72	0.0844	0.0641	0.8515	0.0203	neutral		NO:sentiment_score,Trades/sec	NYSE	4.56	3.64
GENK	"[""GENK""]"	nGNX9XwP2Y	2026-05-06 04:05:00	GEN Korean BBQ Food available at Theme Parks in Southern California	Globe Newswire	4.69	0.1383	0.0333	0.8283	0.105	positive		NO:Trades/sec	NASDAQ	2.34	23.81
BRAI	"[""BRAI""]"	nPRr69033a	2026-05-06 04:18:54	REG-BlackRock American Income Trust Plc: Disclosure of Portfolio Holdings	PR Newswire	17.7	0.0742	0.0416	0.8842	0.0326	neutral		NO:sentiment_score,Trades/sec	LSE		
PONY	"[""PONY""]"	nGNX1DB46R	2026-05-06 05:00:00	PONY AI Inc. to Report First Quarter 2026 Financial Results on May 26, 2026	Globe Newswire	299.36	0.0816	0.0489	0.8695	0.0326	neutral	0.008463817181548879	NO:sentiment_score	NASDAQ	10.69	4.91
TECH	"[""TECH""]"	nWkr63QsQx	2026-05-06 05:04:55	Techstep ASA: Invitation to presentation of Q1 2026 financial results	Cision	155.89	0.1516	0.0381	0.8103	0.1134	positive		NO:Trades/sec	Oslo Børs		
VMAR	"[""VMAR""]"	nPnbw01Pwa	2026-05-06 05:30:00	Vision Marine Technologies Renews and Expands Floor Plan Credit Facility to Support Inventory Deployment Across Nautical Ventures Platform	PR Newswire	0.83	0.9189	0.0117	0.0694	0.9072	positive	0.0023414218816517666	YES	NASDAQ	1.38	18.97
UCL	"[""UCL""]"	nGNX8Kflk7	2026-05-06 06:00:00	UCLOUDLINK GROUP INC. to Report First Quarter 2026 Financial Results on May 13, 2026	Globe Newswire	145.2724	0.082	0.0618	0.8562	0.0202	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.2	0.0
FTS	"[""FTS""]"	nGNX2zzCF8	2026-05-06 06:00:00	Fortis Inc. Releases First Quarter 2026 Results	Globe Newswire	506.22	0.0463	0.0887	0.8649	-0.0424	neutral	0.02217741935483871	NO:sentiment_score,Float	TSX		
RYDE	"[""RYDE""]"	nACS6rlkLa	2026-05-06 06:00:00	Ryde Announces Results for First Quarter 2026	ACCESSWIRE	96.49	0.123	0.0708	0.8062	0.0521	positive	0.018633540372670808	YES	NYSE American	1.22	6.09
OGI	"[""OGI""]"	nBw7MptNa	2026-05-06 06:00:00	Organigram to Report Second Quarter Fiscal 2026 Results on May 12th, 2026	Business Wire	90.51	0.0453	0.0534	0.9014	-0.0081	neutral	0.0004594004823705065	NO:sentiment_score	NASDAQ	1.43	2.14
SJ	"[""SJ""]"	nGNX33VyHF	2026-05-06 06:00:00	Stella-Jones Announces First Quarter Results	Globe Newswire	15.35	0.146	0.1496	0.7044	-0.0035	neutral		NO:sentiment_score,Trades/sec	TSX		
