Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	Exchange	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Trigger	DailyHigh($)	DailyHigh(%)
TZOO	"[""TZOO""]"	nPn2WHWQPa	2026-05-17 03:00:00	Club Offers for Travel Enthusiasts in the U.S.	PR Newswire	7.03	NASDAQ	2026-05-17 03:00:00.093109	0.0935	0.0186	0.8879	0.0749	positive	NO:sentiment_score	9.51	2.04
YOOV	"[""YOOV""]"	nACSF5vF0a	2026-05-17 07:00:01	CIGL DEADLINE REMINDER: Bronstein, Gewirtz & Grossman LLC Reminds Concorde International Group, Ltd. Investors to Join the Class Action Lawsuit Today	ACCESSWIRE	5.91	NASDAQ	2026-05-17 07:00:01.252455	0.195	0.1648	0.6402	0.0301	neutral	NO:sentiment_score	1.27	12.39
ATRA	"[""ATRA""]"	nACSVRRKJa	2026-05-17 07:00:02	ATRA SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	NASDAQ	2026-05-17 07:00:02.071896	0.1743	0.1356	0.6901	0.0387	neutral	NO:sentiment_score	9.55	1.7
GEMI	"[""GEMI""]"	nACSNHpNZa	2026-05-17 07:00:02	GEMI INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Gemini Space Station, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	38.2	NASDAQ	2026-05-17 07:00:02.654146	0.1954	0.2042	0.6004	-0.0087	neutral	NO:sentiment_score	5.63	-0.18
PHR	"[""PHR""]"	nACSPDm0ba	2026-05-17 07:00:03	PHR SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Phreesia, Inc. Stockholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	46.13	NYSE	2026-05-17 07:00:03.626228	0.1682	0.2371	0.5947	-0.0689	negative	NO:sentiment_score	9.22	4.18
FCHL	"[""FCHL""]"	nACSHMX30a	2026-05-17 07:00:04	FCHL SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	NASDAQ	2026-05-17 07:00:04.639767	0.1332	0.2044	0.6625	-0.0712	negative	NO:sentiment_score	1.8	-1.64
LEE	"[""LEE""]"	nACSRd5CQa	2026-05-17 11:00:01	Bronstein, Gewirtz & Grossman, LLC Initiates an Investigation into Allegations Against Lee Enterprises, Inc. (LEE) And Encourages Shareholders to Reach Out	ACCESSWIRE	5.91	NASDAQ	2026-05-17 11:00:01.684265	0.1715	0.0636	0.7649	0.1079	positive	NO:sentiment_score	9.1	4.48
FTFT	"[""FTFT""]"	nACSz1rRma	2026-05-17 11:00:01	Future FinTech Group Inc. (FTFT) Investigation: Bronstein, Gewirtz & Grossman, LLC Encourages Investors to Contact the Firm to Learn More About the Investigation	ACCESSWIRE	2.33	NASDAQ	2026-05-17 11:00:01.976823	0.1714	0.0295	0.7991	0.1419	positive	NO:sentiment_score	1.23	0.82
LAKE	"[""LAKE""]"	nACSp44LRa	2026-05-17 11:00:02	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Lakeland Industries, Inc. (LAKE) and Encourages Shareholders to Learn More About the Investigation	ACCESSWIRE	8.44	NASDAQ	2026-05-17 11:00:02.590571	0.222	0.1079	0.6701	0.1141	positive	NO:sentiment_score	10.96	11.84
GAIA	"[""GAIA""]"	nACSYw3Mza	2026-05-17 11:00:03	Bronstein, Gewirtz & Grossman, LLC Announces an Investigation Against Gaia, Inc. (GAIA) and Encourages Investors to Learn More About the Investigation 	ACCESSWIRE	17.79	NASDAQ	2026-05-17 11:00:04.028790	0.2039	0.0563	0.7398	0.1476	positive	NO:sentiment_score	2.45	3.38
